"stimulus","cond","condition","correct_response"
"twrjeas","Random",4,"m"
"staren","HF",1,"n"
"balsems","LF",2,"n"
"sterven","HF",1,"n"
"cross","LF",2,"n"
"gezin","HF",1,"n"
"geld","HF",1,"n"
"splingen","Pseudo",3,"m"
"daaruit","HF",1,"n"
"fnstiet","Random",4,"m"
"muljpepi","Random",4,"m"
"bevrijpt","Pseudo",3,"m"
"ubtrsoti","Random",4,"m"
"gegt","Pseudo",3,"m"
"derken","Pseudo",3,"m"
"spraken","HF",1,"n"
"kleine","HF",1,"n"
"fetssoj","Random",4,"m"
"sonbs","Random",4,"m"
"blaan","Pseudo",3,"m"
"pronder","Pseudo",3,"m"
"ejvoksr","Random",4,"m"
"moeten","HF",1,"n"
"krreco","Random",4,"m"
"doctors","LF",2,"n"
"leest","HF",1,"n"
"stijs","Pseudo",3,"m"
"meken","Pseudo",3,"m"
"deek","Pseudo",3,"m"
"voelden","HF",1,"n"
"rondes","LF",2,"n"
"mederf","Pseudo",3,"m"
"jpoees","Random",4,"m"
"feiten","HF",1,"n"
"drums","LF",2,"n"
"zithoek","LF",2,"n"
"party's","LF",2,"n"
"dnjesar","Random",4,"m"
"skertjui","Random",4,"m"
"tizjwnje","Random",4,"m"
"iobwrjod","Random",4,"m"
"werken","HF",1,"n"
"astleps","Random",4,"m"
"zachtjes","HF",1,"n"
"houden","HF",1,"n"
"laagjes","LF",2,"n"
"randjes","LF",2,"n"
"wormpjes","LF",2,"n"
"oken","Pseudo",3,"m"
"aanval","HF",1,"n"
"ejdevls","Random",4,"m"
"leufgej","Random",4,"m"
"zwaal","Pseudo",3,"m"
"wapen","HF",1,"n"
"gelzen","Pseudo",3,"m"
"graadje","LF",2,"n"
"delta's","LF",2,"n"
"spal","Pseudo",3,"m"
"rijke","HF",1,"n"
"vrode","Pseudo",3,"m"
"wavens","Pseudo",3,"m"
"vijltje","LF",2,"n"
"lelend","Pseudo",3,"m"
"kaasjes","LF",2,"n"
"lippen","HF",1,"n"
"werkzaam","HF",1,"n"
"saart","Pseudo",3,"m"
"woont","HF",1,"n"
"gedoerd","Pseudo",3,"m"
"diefje","LF",2,"n"
"plus","HF",1,"n"
"avond","HF",1,"n"
"folven","Pseudo",3,"m"
"smokings","LF",2,"n"
"stoesen","Pseudo",3,"m"
"eilabs","Random",4,"m"
"besje","LF",2,"n"
"minder","HF",1,"n"
"ruilte","Pseudo",3,"m"
"itesegr","Random",4,"m"
"nadat","HF",1,"n"
"besjes","LF",2,"n"
"hoofdzin","LF",2,"n"
"merries","LF",2,"n"
"rtbseoj","Random",4,"m"
"rocker","LF",2,"n"
"haven","HF",1,"n"
"jkbees","Random",4,"m"
"fiete","Pseudo",3,"m"
"rekkit","Random",4,"m"
"limoen","LF",2,"n"
"tmliuje","Random",4,"m"
"rustig","HF",1,"n"
"wimper","LF",2,"n"
"vormpjes","LF",2,"n"
"kartons","LF",2,"n"
"krokus","LF",2,"n"
"braag","Pseudo",3,"m"
"nekjes","LF",2,"n"
"maat","HF",1,"n"
"jogging","LF",2,"n"
"films","HF",1,"n"
"peide","Pseudo",3,"m"
"solsmes","Random",4,"m"
"graag","HF",1,"n"
"stelsel","HF",1,"n"
"lart","Pseudo",3,"m"
"vrijwel","HF",1,"n"
"tmjaes","Random",4,"m"
"telkens","HF",1,"n"
"cruises","LF",2,"n"
"coupon","LF",2,"n"
"gich","Pseudo",3,"m"
"eilavan","Random",4,"m"
"kraagt","Pseudo",3,"m"
"bilts","Pseudo",3,"m"
"pandig","Pseudo",3,"m"
"gedaap","Pseudo",3,"m"
"loy'lsl","Random",4,"m"
"jkoser","Random",4,"m"
"sutilpor","Random",4,"m"
"cange","Pseudo",3,"m"
"took","Pseudo",3,"m"
"geeft","HF",1,"n"
"blondjes","LF",2,"n"
"glak","Pseudo",3,"m"
