"stimulus","cond","condition","correct_response"
"ltesoj","Random",4,"m"
"etlens","Random",4,"m"
"partger","Pseudo",3,"m"
"vijken","Pseudo",3,"m"
"stig","Pseudo",3,"m"
"ldosoje","Random",4,"m"
"blauw","HF",1,"n"
"kroeker","Pseudo",3,"m"
"meisjes","HF",1,"n"
"nierp","Pseudo",3,"m"
"jaam","Pseudo",3,"m"
"glak","Pseudo",3,"m"
"zeven","HF",1,"n"
"heer","HF",1,"n"
"vkeojns","Random",4,"m"
"rook","HF",1,"n"
"goudstuk","LF",2,"n"
"sgjkreoe","Random",4,"m"
"lengtes","LF",2,"n"
"nacsk","Random",4,"m"
"erin","HF",1,"n"
"bewoeld","Pseudo",3,"m"
"wolfje","LF",2,"n"
"lezen","HF",1,"n"
"verden","Pseudo",3,"m"
"aand","Pseudo",3,"m"
"omdat","HF",1,"n"
"saesriks","Random",4,"m"
"walrus","LF",2,"n"
"eiljtwed","Random",4,"m"
"honkbal","LF",2,"n"
"ookljef","Random",4,"m"
"werking","HF",1,"n"
"stopte","HF",1,"n"
"zouden","HF",1,"n"
"kuisen","LF",2,"n"
"trappen","HF",1,"n"
"brijs","Pseudo",3,"m"
"gaak","Pseudo",3,"m"
"dwergjes","LF",2,"n"
"sonds","Pseudo",3,"m"
"desserts","LF",2,"n"
"soepbord","LF",2,"n"
"upnoocs","Random",4,"m"
"klas","HF",1,"n"
"lieuws","Pseudo",3,"m"
"sleckte","Pseudo",3,"m"
"lsede","Random",4,"m"
"ztwjanae","Random",4,"m"
"duels","LF",2,"n"
"uentttr","Random",4,"m"
"fijne","HF",1,"n"
"geklees","Pseudo",3,"m"
"rjteiefs","Random",4,"m"
"toestand","HF",1,"n"
"slinke","Pseudo",3,"m"
"lwipnkap","Random",4,"m"
"hoeft","HF",1,"n"
"poepje","LF",2,"n"
"userfbf","Random",4,"m"
"koordjes","LF",2,"n"
"selder","LF",2,"n"
"ykceoh","Random",4,"m"
"keek","HF",1,"n"
"vrees","HF",1,"n"
"verstagd","Pseudo",3,"m"
"alders","Pseudo",3,"m"
"muziek","HF",1,"n"
"elfzaj","Random",4,"m"
"uodj","Random",4,"m"
"grehans","Random",4,"m"
"t'aasps","Random",4,"m"
"erben","Pseudo",3,"m"
"greep","HF",1,"n"
"teken","HF",1,"n"
"akind","Pseudo",3,"m"
"kaart","HF",1,"n"
"lachend","HF",1,"n"
"sheriffs","LF",2,"n"
"treedt","HF",1,"n"
"mentors","LF",2,"n"
"wieltje","LF",2,"n"
"stofjes","LF",2,"n"
"pinda","LF",2,"n"
"ismeukt","Random",4,"m"
"tumors","LF",2,"n"
"racebaan","LF",2,"n"
"snuitje","LF",2,"n"
"opnocht","Pseudo",3,"m"
"broee","Pseudo",3,"m"
"saart","Pseudo",3,"m"
"cola's","LF",2,"n"
"niemand","HF",1,"n"
"griezels","LF",2,"n"
"etsefji","Random",4,"m"
"rceuiss","Random",4,"m"
"brnaso","Random",4,"m"
"judo","LF",2,"n"
"jonteohr","Random",4,"m"
"sfeertje","LF",2,"n"
"vijf","HF",1,"n"
"schoel","Pseudo",3,"m"
"bedram","Pseudo",3,"m"
"hoger","HF",1,"n"
"toster","Random",4,"m"
"frietjes","LF",2,"n"
"jecht","Pseudo",3,"m"
"kljove","Random",4,"m"
"paard","HF",1,"n"
"slaap","HF",1,"n"
"edbjsonl","Random",4,"m"
"kansen","HF",1,"n"
"dnoser","Random",4,"m"
"ontsiend","Pseudo",3,"m"
"bieden","HF",1,"n"
"aarde","HF",1,"n"
"sloot","HF",1,"n"
"leek","HF",1,"n"
"hening","Pseudo",3,"m"
"rkoe","Random",4,"m"
"jeer","Pseudo",3,"m"
"cijzelk","Pseudo",3,"m"
"sproet","LF",2,"n"
"zjtleie","Random",4,"m"
"spiepen","Pseudo",3,"m"
"momlers","Random",4,"m"
"voorvoot","Pseudo",3,"m"
"inbloep","Pseudo",3,"m"
"bizons","LF",2,"n"
"hout","HF",1,"n"
"weekjes","LF",2,"n"
"spiertje","LF",2,"n"
"zitjes","LF",2,"n"
"atjenrta","Random",4,"m"
"lieve","HF",1,"n"
"niveau","HF",1,"n"
"prooien","LF",2,"n"
"fave","Pseudo",3,"m"
"naaldjes","LF",2,"n"
"gympjes","LF",2,"n"
"oopl","Random",4,"m"
"beiken","Pseudo",3,"m"
"kassiers","LF",2,"n"
"leept","Pseudo",3,"m"
"verstaan","HF",1,"n"
"raken","HF",1,"n"
"maat","HF",1,"n"
"pprelis","Random",4,"m"
"cycloon","LF",2,"n"
"aantal","HF",1,"n"
"popjes","LF",2,"n"
"fjeiert","Random",4,"m"
"buikjes","LF",2,"n"
"alde","Pseudo",3,"m"
"merf","Pseudo",3,"m"
"vanwels","Pseudo",3,"m"
"storm","HF",1,"n"
"uetisjn","Random",4,"m"
"gonmem","Random",4,"m"
"roveel","Pseudo",3,"m"
"wijze","HF",1,"n"
"haantjes","LF",2,"n"
"ponmer","Random",4,"m"
"kerden","Pseudo",3,"m"
"toegang","HF",1,"n"
"merken","HF",1,"n"
"vertrek","HF",1,"n"
"procent","HF",1,"n"
"deelhns","Random",4,"m"
"deanbjr","Random",4,"m"
"kelkiej","Random",4,"m"
"albums","LF",2,"n"
"ebalmss","Random",4,"m"
"tizjwnje","Random",4,"m"
"kroegjes","LF",2,"n"
"stortbui","LF",2,"n"
"striem","LF",2,"n"
"soja","LF",2,"n"
"hoorntje","LF",2,"n"
"jkoser","Random",4,"m"
"geeerst","Pseudo",3,"m"
"destijds","HF",1,"n"
"squash","LF",2,"n"
"dodent","Pseudo",3,"m"
"genot","HF",1,"n"
"gedecht","Pseudo",3,"m"
"horen","HF",1,"n"
"scripts","LF",2,"n"
"lijkjes","LF",2,"n"
"smiert","Random",4,"m"
"behulp","HF",1,"n"
"eerste","HF",1,"n"
"pistool","HF",1,"n"
"cakes","LF",2,"n"
"begriet","Pseudo",3,"m"
"erdesl","Random",4,"m"
"blijft","HF",1,"n"
"gegicht","Pseudo",3,"m"
"sseenrwt","Random",4,"m"
"delta's","LF",2,"n"
"helpt","HF",1,"n"
"korargla","Random",4,"m"
"voon","Pseudo",3,"m"
"sterden","Pseudo",3,"m"
"plaven","Pseudo",3,"m"
"agenzn","Random",4,"m"
"spatels","LF",2,"n"
"karm","Pseudo",3,"m"
"tsrjike","Random",4,"m"
"hiermee","HF",1,"n"
"meerdien","Pseudo",3,"m"
"macho","LF",2,"n"
"bijd","Pseudo",3,"m"
"meima","Pseudo",3,"m"
"sassjeu","Random",4,"m"
"schillig","Pseudo",3,"m"
"tandje","LF",2,"n"
"dinden","Pseudo",3,"m"
"kstwadan","Random",4,"m"
"pakti","Pseudo",3,"m"
"isjtenwj","Random",4,"m"
"diedde","Pseudo",3,"m"
"dikke","HF",1,"n"
"lolly","LF",2,"n"
"attemle","Random",4,"m"
"bron","HF",1,"n"
"kreeg","HF",1,"n"
"taluepas","Random",4,"m"
"oorlogs","LF",2,"n"
"roogden","Pseudo",3,"m"
"bijwoord","LF",2,"n"
"neesztjo","Random",4,"m"
"tante","HF",1,"n"
"dintraal","Pseudo",3,"m"
"serres","LF",2,"n"
"prsetpin","Random",4,"m"
"profs","LF",2,"n"
"deuntjes","LF",2,"n"
"pijltjes","LF",2,"n"
"hctjzues","Random",4,"m"
