"stimulus","cond","condition","correct_response"
"nassen","Pseudo",3,"m"
"echt","HF",1,"n"
"kijsde","Pseudo",3,"m"
"erben","Pseudo",3,"m"
"schoud","Pseudo",3,"m"
"vaker","HF",1,"n"
"zithoek","LF",2,"n"
"kaasjes","LF",2,"n"
"slijper","LF",2,"n"
"plasjes","LF",2,"n"
"spiertje","LF",2,"n"
"maakten","HF",1,"n"
"rachtte","Pseudo",3,"m"
"zwaantje","LF",2,"n"
"npisjers","Random",4,"m"
"griepje","LF",2,"n"
"savsjae","Random",4,"m"
"naste","Pseudo",3,"m"
"iejlvegs","Random",4,"m"
"mooi","HF",1,"n"
"eesfejtr","Random",4,"m"
"peent","Pseudo",3,"m"
"vliegjes","LF",2,"n"
"twistie","Pseudo",3,"m"
"macht","HF",1,"n"
"albums","LF",2,"n"
"jivl","Random",4,"m"
"ltesbei","Random",4,"m"
"hingen","HF",1,"n"
"eembozs","Random",4,"m"
"daakt","Pseudo",3,"m"
"espnrta","Random",4,"m"
"lmabus","Random",4,"m"
"mard","Pseudo",3,"m"
"party's","LF",2,"n"
"roord","Pseudo",3,"m"
"droeg","HF",1,"n"
"zette","HF",1,"n"
"designs","LF",2,"n"
"glijbaan","LF",2,"n"
"gamma's","LF",2,"n"
"elders","HF",1,"n"
"deek","Pseudo",3,"m"
"luurt","Pseudo",3,"m"
"ejlztise","Random",4,"m"
"lentes","LF",2,"n"
"dames","HF",1,"n"
"woorden","HF",1,"n"
"tselke","Random",4,"m"
"tenzij","HF",1,"n"
"keste","Pseudo",3,"m"
"netepsr","Random",4,"m"
"breg","Pseudo",3,"m"
"delde","Pseudo",3,"m"
"verlelt","Pseudo",3,"m"
"huizen","HF",1,"n"
"kapjes","LF",2,"n"
"steekjes","LF",2,"n"
"bezerft","Pseudo",3,"m"
"erdesl","Random",4,"m"
"ponde","Pseudo",3,"m"
"rvgeeti","Random",4,"m"
"dollar","HF",1,"n"
"eopjpe","Random",4,"m"
"doer","Pseudo",3,"m"
"boeren","HF",1,"n"
"tustig","Pseudo",3,"m"
"panters","LF",2,"n"
"wijnen","HF",1,"n"
"poucon","Random",4,"m"
"stille","HF",1,"n"
