"stimulus","cond","condition","correct_response"
"snack","LF",2,"n"
"wordt","HF",1,"n"
"iaml","Random",4,"m"
"ribier","Pseudo",3,"m"
"dojkoers","Random",4,"m"
"geweer","HF",1,"n"
"alevr","Random",4,"m"
"hbnakol","Random",4,"m"
"baby","HF",1,"n"
"rietjes","LF",2,"n"
"kkarer","Random",4,"m"
"jorpesot","Random",4,"m"
"gfsalnig","Random",4,"m"
"borst","HF",1,"n"
"brugje","LF",2,"n"
"nacsk","Random",4,"m"
"tsrjike","Random",4,"m"
"emjsite","Random",4,"m"
"veertien","HF",1,"n"
"buizerds","LF",2,"n"
"trjeoo","Random",4,"m"
"badjes","LF",2,"n"
"sjarat","Pseudo",3,"m"
"ocsrotes","Random",4,"m"
"biscuits","LF",2,"n"
"primeurs","LF",2,"n"
"steekjes","LF",2,"n"
"verbeld","Pseudo",3,"m"
"mogel","Pseudo",3,"m"
"olok","Random",4,"m"
"psepjo","Random",4,"m"
"helaar","Pseudo",3,"m"
"keinen","Pseudo",3,"m"
"vliesjes","LF",2,"n"
"leept","Pseudo",3,"m"
"usjem","Random",4,"m"
"leiten","Pseudo",3,"m"
"hoting","Pseudo",3,"m"
"bestond","HF",1,"n"
"laal","Pseudo",3,"m"
"terug","HF",1,"n"
"semutjs","Random",4,"m"
"mixers","LF",2,"n"
"kront","Pseudo",3,"m"
"astleps","Random",4,"m"
"orgels","LF",2,"n"
"stille","HF",1,"n"
"prisma's","LF",2,"n"
"zoter","Pseudo",3,"m"
"nelpze","Random",4,"m"
"zeiltje","LF",2,"n"
"toster","Random",4,"m"
"autist","LF",2,"n"
"pty'ans","Random",4,"m"
"szza'ip","Random",4,"m"
"rdum","Random",4,"m"
"rolluik","LF",2,"n"
"westerns","LF",2,"n"
"jngiogg","Random",4,"m"
"bebest","Pseudo",3,"m"
"salsa","LF",2,"n"
"sgao't","Random",4,"m"
"coupon","LF",2,"n"
"lolly's","LF",2,"n"
"zakken","HF",1,"n"
"bever","LF",2,"n"
"tijesgwj","Random",4,"m"
"limoen","LF",2,"n"
"mietjes","LF",2,"n"
"gelden","HF",1,"n"
"bilts","Pseudo",3,"m"
"gleufje","LF",2,"n"
"klagers","LF",2,"n"
"aktcer","Random",4,"m"
"vertoord","Pseudo",3,"m"
"hatte","Pseudo",3,"m"
"treijsh","Random",4,"m"
"niveau","HF",1,"n"
"weer","HF",1,"n"
"praktijk","HF",1,"n"
"fussen","Pseudo",3,"m"
"belin","Pseudo",3,"m"
"welk","HF",1,"n"
"fruis","Pseudo",3,"m"
"lange","HF",1,"n"
"mentors","LF",2,"n"
"heuvel","HF",1,"n"
"ontmoet","HF",1,"n"
"goals","LF",2,"n"
"groonste","Pseudo",3,"m"
"straat","HF",1,"n"
"stinker","LF",2,"n"
"bagen","Pseudo",3,"m"
"oesjnets","Random",4,"m"
"schip","HF",1,"n"
"aelkbjs","Random",4,"m"
"zweet","HF",1,"n"
"gegt","Pseudo",3,"m"
"cricket","LF",2,"n"
"stezen","Pseudo",3,"m"
"verkeerd","HF",1,"n"
"mango's","LF",2,"n"
"meneer","HF",1,"n"
"party's","LF",2,"n"
"kartons","LF",2,"n"
"beertjes","LF",2,"n"
"jfwole","Random",4,"m"
"eiksnjk","Random",4,"m"
"krijgt","HF",1,"n"
"verse","HF",1,"n"
"swille","Pseudo",3,"m"
"spanning","HF",1,"n"
"klaproos","LF",2,"n"
"bepaalt","HF",1,"n"
"starters","LF",2,"n"
"kalfje","LF",2,"n"
"juli","HF",1,"n"
"likjes","LF",2,"n"
"lbuvaki","Random",4,"m"
"fgsueejl","Random",4,"m"
"strelg","Pseudo",3,"m"
"links","HF",1,"n"
"foto's","HF",1,"n"
"diensten","HF",1,"n"
"bertend","Pseudo",3,"m"
"deek","Pseudo",3,"m"
"stekel","LF",2,"n"
"krreco","Random",4,"m"
"zomaar","HF",1,"n"
"vijltje","LF",2,"n"
"obojegs","Random",4,"m"
"grehans","Random",4,"m"
"papjes","LF",2,"n"
"kale","HF",1,"n"
"schudde","HF",1,"n"
"opeens","HF",1,"n"
"schillig","Pseudo",3,"m"
"ykceoh","Random",4,"m"
"gehaald","HF",1,"n"
"kamer","HF",1,"n"
"ashc","Random",4,"m"
"rvgeeti","Random",4,"m"
"dringen","HF",1,"n"
"geschakt","Pseudo",3,"m"
"zinsdeel","LF",2,"n"
"sa'ammg","Random",4,"m"
"idnseelz","Random",4,"m"
"klapjes","LF",2,"n"
"sneller","HF",1,"n"
"oizbmse","Random",4,"m"
"kotje","LF",2,"n"
"afses","Random",4,"m"
"durde","Pseudo",3,"m"
"bloef","Pseudo",3,"m"
"besjes","LF",2,"n"
"inze","Pseudo",3,"m"
"maantjes","LF",2,"n"
"rachtte","Pseudo",3,"m"
"aand","Pseudo",3,"m"
"beetje","HF",1,"n"
"verdroen","Pseudo",3,"m"
"geurtje","LF",2,"n"
"dagen","HF",1,"n"
"hadden","HF",1,"n"
"eteljs","Random",4,"m"
"dood","HF",1,"n"
"soja","LF",2,"n"
"sraless","Random",4,"m"
"typist","LF",2,"n"
"noorden","HF",1,"n"
"gekoord","Pseudo",3,"m"
"eenmaal","HF",1,"n"
"espnrta","Random",4,"m"
"schepjes","LF",2,"n"
"voort","HF",1,"n"
"straf","HF",1,"n"
"trutten","LF",2,"n"
"sausjes","LF",2,"n"
"ilus","Pseudo",3,"m"
"waarif","Pseudo",3,"m"
"pode","Pseudo",3,"m"
"lesud","Random",4,"m"
"zief","Pseudo",3,"m"
"beem","Pseudo",3,"m"
"geleid","HF",1,"n"
"earrspt","Random",4,"m"
"feitjes","LF",2,"n"
"loy'lsl","Random",4,"m"
"tante","HF",1,"n"
"ijlekjs","Random",4,"m"
"c'isrmo","Random",4,"m"
"dpaakn","Random",4,"m"
"eiden","Pseudo",3,"m"
"wensen","HF",1,"n"
"helaar","Pseudo",3,"m"
"uetijps","Random",4,"m"
"geurtjes","LF",2,"n"
"ltesoj","Random",4,"m"
"uijfeds","Random",4,"m"
"muur","HF",1,"n"
"vekte","Pseudo",3,"m"
"vrijgen","Pseudo",3,"m"
"honderd","HF",1,"n"
"turnen","LF",2,"n"
"letsels","LF",2,"n"
"pentool","Pseudo",3,"m"
"boepje","Pseudo",3,"m"
"printers","LF",2,"n"
"larve","LF",2,"n"
"leel","Pseudo",3,"m"
"wreef","HF",1,"n"
"wansen","Pseudo",3,"m"
"maret","Pseudo",3,"m"
"boezems","LF",2,"n"
"klinkt","HF",1,"n"
"spitcrs","Random",4,"m"
"sauw","Pseudo",3,"m"
"broer","HF",1,"n"
"beitels","LF",2,"n"
"t'aasps","Random",4,"m"
"lijpt","Pseudo",3,"m"
"geboop","Pseudo",3,"m"
"loed","Pseudo",3,"m"
"stonden","HF",1,"n"
"maakte","HF",1,"n"
"schorp","Pseudo",3,"m"
"hebben","HF",1,"n"
"ajaelsg","Random",4,"m"
"jo'jos","Random",4,"m"
"spatels","LF",2,"n"
"gepal","Pseudo",3,"m"
"prijzen","HF",1,"n"
"trollen","LF",2,"n"
"ebaewsr","Random",4,"m"
"liever","HF",1,"n"
"lelen","Pseudo",3,"m"
"helder","HF",1,"n"
"pavroot","Pseudo",3,"m"
"beus","Pseudo",3,"m"
"gebeer","Pseudo",3,"m"
