"stimulus","cond","condition","correct_response"
"deek","Pseudo",3,"m"
"bebijk","Pseudo",3,"m"
"coupons","LF",2,"n"
"kijn","Pseudo",3,"m"
"fuder","Pseudo",3,"m"
"sandaal","LF",2,"n"
"sliep","HF",1,"n"
"factors","LF",2,"n"
"boer","HF",1,"n"
"lotjes","LF",2,"n"
"zeurdibs","Random",4,"m"
"wang","HF",1,"n"
"dedden","Pseudo",3,"m"
"hoge","HF",1,"n"
"film","HF",1,"n"
"klaar","HF",1,"n"
"hockey","LF",2,"n"
"bijders","Pseudo",3,"m"
"brug","HF",1,"n"
"dweiltje","LF",2,"n"
"eiljtwed","Random",4,"m"
"ssjaeak","Random",4,"m"
"leufgej","Random",4,"m"
"hoorntje","LF",2,"n"
"uentttr","Random",4,"m"
"blaats","Pseudo",3,"m"
"pakken","HF",1,"n"
"dach","Pseudo",3,"m"
"groppen","Pseudo",3,"m"
"legagn","Random",4,"m"
"bevel","HF",1,"n"
"ovkoeet","Random",4,"m"
"beuden","Pseudo",3,"m"
"kkrestes","Random",4,"m"
"schorp","Pseudo",3,"m"
"stekjes","Pseudo",3,"m"
"grehans","Random",4,"m"
"gebouw","HF",1,"n"
"soepje","LF",2,"n"
"schepen","HF",1,"n"
"zieltje","LF",2,"n"
"fovo","Pseudo",3,"m"
"adres","HF",1,"n"
"jokers","LF",2,"n"
"jesvo","Random",4,"m"
"rachtte","Pseudo",3,"m"
"poema's","LF",2,"n"
"iaml","Random",4,"m"
"nassen","Pseudo",3,"m"
"biedara","Random",4,"m"
"daarman","Pseudo",3,"m"
"ltejeiw","Random",4,"m"
"trippen","LF",2,"n"
"voontaal","Pseudo",3,"m"
"zitten","HF",1,"n"
"koop","HF",1,"n"
"bemen","Pseudo",3,"m"
"cash","LF",2,"n"
"cerdrum","Pseudo",3,"m"
"stad","HF",1,"n"
"rjteiefs","Random",4,"m"
"oken","Pseudo",3,"m"
"steen","HF",1,"n"
"auto","HF",1,"n"
"frames","LF",2,"n"
"tracht","HF",1,"n"
"jekoops","Random",4,"m"
"ierand","Pseudo",3,"m"
"slijmen","LF",2,"n"
"noch","HF",1,"n"
"sonbs","Random",4,"m"
"rolluik","LF",2,"n"
"uetisjn","Random",4,"m"
"kesten","Pseudo",3,"m"
"rens","Pseudo",3,"m"
"sproet","LF",2,"n"
"streng","HF",1,"n"
"blaan","Pseudo",3,"m"
"kaadt","Pseudo",3,"m"
"balsems","LF",2,"n"
"snepnlo","Random",4,"m"
"rbz'aes","Random",4,"m"
"spurten","LF",2,"n"
"rode","HF",1,"n"
"huimen","Pseudo",3,"m"
"vader","HF",1,"n"
"blondjes","LF",2,"n"
"belin","Pseudo",3,"m"
"jievelg","Random",4,"m"
"flora's","LF",2,"n"
"boffen","LF",2,"n"
"jo'jos","Random",4,"m"
"rechts","HF",1,"n"
"gebruik","HF",1,"n"
"sgjkreoe","Random",4,"m"
"plont","Pseudo",3,"m"
"dansen","HF",1,"n"
"ujitlefs","Random",4,"m"
"clip","LF",2,"n"
"zweertje","LF",2,"n"
"strikjes","LF",2,"n"
"meukje","Pseudo",3,"m"
"profs","LF",2,"n"
"roonde","Pseudo",3,"m"
"splingen","Pseudo",3,"m"
"opgat","Pseudo",3,"m"
"gegt","Pseudo",3,"m"
"eerst","HF",1,"n"
"sjrieskt","Random",4,"m"
"laetrir","Random",4,"m"
"ontdekt","HF",1,"n"
"c'isrmo","Random",4,"m"
"dwals","Pseudo",3,"m"
"nagjabil","Random",4,"m"
"leest","HF",1,"n"
"richten","HF",1,"n"
"ujekde","Random",4,"m"
"sterkten","LF",2,"n"
"blijft","HF",1,"n"
"gamma's","LF",2,"n"
"sa'ammg","Random",4,"m"
"lso'os","Random",4,"m"
"forums","LF",2,"n"
"lawaai","HF",1,"n"
"plateaus","LF",2,"n"
"fiom","Pseudo",3,"m"
"nakken","Pseudo",3,"m"
"ruersfs","Random",4,"m"
"tespja","Random",4,"m"
"solo's","LF",2,"n"
"kluk","Pseudo",3,"m"
"broers","HF",1,"n"
"verliend","Pseudo",3,"m"
"plein","HF",1,"n"
"'gantos","Random",4,"m"
"rompen","LF",2,"n"
"jtliejps","Random",4,"m"
"ttejru","Random",4,"m"
"rioeer","Random",4,"m"
"lassers","LF",2,"n"
"vikings","LF",2,"n"
"twijgje","LF",2,"n"
"warten","Pseudo",3,"m"
"zieltjes","LF",2,"n"
"lacht","HF",1,"n"
"aanbol","Pseudo",3,"m"
"zolang","HF",1,"n"
"haren","HF",1,"n"
"theed","Pseudo",3,"m"
"chef","HF",1,"n"
"mjapaens","Random",4,"m"
"tellers","LF",2,"n"
"geilig","Pseudo",3,"m"
"noorden","HF",1,"n"
"haantjes","LF",2,"n"
"orgels","LF",2,"n"
"geleid","HF",1,"n"
"eeejlutw","Random",4,"m"
"racebaan","LF",2,"n"
"gedicht","HF",1,"n"
"gele","HF",1,"n"
"plicht","HF",1,"n"
"fluitjes","LF",2,"n"
"ijlekjs","Random",4,"m"
"monders","Pseudo",3,"m"
"soja","LF",2,"n"
"wochten","Pseudo",3,"m"
"uiltje","LF",2,"n"
"dutjes","LF",2,"n"
"verbaasd","HF",1,"n"
"teksten","HF",1,"n"
"gidsje","LF",2,"n"
"zweepjes","LF",2,"n"
"piemels","LF",2,"n"
"kanaf","Pseudo",3,"m"
"kicht","Pseudo",3,"m"
"boek","HF",1,"n"
"neen","HF",1,"n"
"lieverds","LF",2,"n"
"noud","Pseudo",3,"m"
"direct","HF",1,"n"
"coupon","LF",2,"n"
"ijlfo","Random",4,"m"
"spaties","LF",2,"n"
"plannen","HF",1,"n"
"helpen","HF",1,"n"
"moenen","Pseudo",3,"m"
"earrspt","Random",4,"m"
"tankjes","LF",2,"n"
"meeirrs","Random",4,"m"
"ribeuzd","Random",4,"m"
"solsmes","Random",4,"m"
"typisch","HF",1,"n"
"waarde","HF",1,"n"
"semutjs","Random",4,"m"
"mahstec","Random",4,"m"
"kanons","LF",2,"n"
"ernaar","HF",1,"n"
"meken","Pseudo",3,"m"
"gand","Pseudo",3,"m"
"neoornhe","Random",4,"m"
"iiznjb","Random",4,"m"
"harder","HF",1,"n"
"eiden","Pseudo",3,"m"
"braag","Pseudo",3,"m"
"keeewjs","Random",4,"m"
"daar","HF",1,"n"
"ossrbek","Random",4,"m"
"luzie","Pseudo",3,"m"
"upnoocs","Random",4,"m"
"spal","Pseudo",3,"m"
"eletjiz","Random",4,"m"
"pgonnpgi","Random",4,"m"
"worden","HF",1,"n"
"maap","Pseudo",3,"m"
"wormpje","LF",2,"n"
"want","HF",1,"n"
"usjesne","Random",4,"m"
"games","LF",2,"n"
"mormden","Pseudo",3,"m"
"gegicht","Pseudo",3,"m"
"onze","HF",1,"n"
"bsireej","Random",4,"m"
"aanleg","HF",1,"n"
"ojjo","Random",4,"m"
"ejrhtas","Random",4,"m"
"giraf","LF",2,"n"
"verslaak","Pseudo",3,"m"
"marker","LF",2,"n"
"pijltjes","LF",2,"n"
"zombie","LF",2,"n"
"donter","Pseudo",3,"m"
"fooitje","LF",2,"n"
"osgrle","Random",4,"m"
"paslejs","Random",4,"m"
"bagden","Pseudo",3,"m"
"espnrta","Random",4,"m"
"telkens","HF",1,"n"
"eeuw","HF",1,"n"
"roggen","LF",2,"n"
