"stimulus","cond","condition","correct_response"
"breeg","Pseudo",3,"m"
"tekstje","LF",2,"n"
"hockey","LF",2,"n"
"eddkus","Random",4,"m"
"sterven","HF",1,"n"
"plaats","HF",1,"n"
"roveel","Pseudo",3,"m"
"visie","HF",1,"n"
"mouwtjes","LF",2,"n"
"passen","HF",1,"n"
"plonsen","LF",2,"n"
"shirtje","LF",2,"n"
"cingen","Pseudo",3,"m"
"tavztou","Random",4,"m"
"laat","HF",1,"n"
"vmeelses","Random",4,"m"
"edrijr","Random",4,"m"
"rondes","LF",2,"n"
"eilabs","Random",4,"m"
"werkmaas","Pseudo",3,"m"
"praters","LF",2,"n"
"menen","HF",1,"n"
"koctor","Pseudo",3,"m"
"deden","HF",1,"n"
"stof","HF",1,"n"
"ekesjh","Random",4,"m"
"speldjes","LF",2,"n"
"kkrestes","Random",4,"m"
"zodra","HF",1,"n"
"raims'ps","Random",4,"m"
"dieken","Pseudo",3,"m"
"lolly","LF",2,"n"
"bestuur","HF",1,"n"
"abant","Pseudo",3,"m"
"vijf","HF",1,"n"
"solpejs","Random",4,"m"
"jaam","Pseudo",3,"m"
"nogms'a","Random",4,"m"
"zoezer","Pseudo",3,"m"
"enkel","HF",1,"n"
"doopsels","LF",2,"n"
"ribeuzd","Random",4,"m"
"vreles","Random",4,"m"
"nsesjad","Random",4,"m"
"kaasjes","LF",2,"n"
"jacket","LF",2,"n"
"srejitep","Random",4,"m"
"lieuws","Pseudo",3,"m"
"gonmem","Random",4,"m"
"dis'soc","Random",4,"m"
"racist","LF",2,"n"
"biren","Pseudo",3,"m"
"biscuits","LF",2,"n"
"heutel","Pseudo",3,"m"
"natuur","HF",1,"n"
"autist","LF",2,"n"
"striem","LF",2,"n"
"jbeess","Random",4,"m"
"goals","LF",2,"n"
"hijf","Pseudo",3,"m"
"pukkel","LF",2,"n"
"zeven","HF",1,"n"
"sausjes","LF",2,"n"
"noodse","Pseudo",3,"m"
"noeit","Pseudo",3,"m"
"dachten","HF",1,"n"
"idee","HF",1,"n"
"stroom","HF",1,"n"
"volkjes","LF",2,"n"
"jeefets","Random",4,"m"
"egen","Pseudo",3,"m"
"genoeg","HF",1,"n"
"riacaal","Random",4,"m"
"lengtes","LF",2,"n"
"smyjpeg","Random",4,"m"
"jngiogg","Random",4,"m"
"iotofej","Random",4,"m"
"strippen","LF",2,"n"
"geurtje","LF",2,"n"
"hookte","Pseudo",3,"m"
"klok","HF",1,"n"
"nallen","Pseudo",3,"m"
"kleiren","Pseudo",3,"m"
"sturen","HF",1,"n"
"schaapje","LF",2,"n"
"loojitpe","Random",4,"m"
"bijd","Pseudo",3,"m"
"tevers","Pseudo",3,"m"
"snobs","LF",2,"n"
"dpaakn","Random",4,"m"
"bevindt","HF",1,"n"
"mietjes","LF",2,"n"
"roeier","LF",2,"n"
"vijfde","HF",1,"n"
"daarman","Pseudo",3,"m"
"desserts","LF",2,"n"
"slotje","LF",2,"n"
"uentttr","Random",4,"m"
"verbeld","Pseudo",3,"m"
"vijken","Pseudo",3,"m"
"uaijn","Random",4,"m"
"schiet","HF",1,"n"
"gronnen","Pseudo",3,"m"
"designs","LF",2,"n"
"naowolt","Random",4,"m"
"laal","Pseudo",3,"m"
"jecht","Pseudo",3,"m"
"savsjae","Random",4,"m"
"begook","Pseudo",3,"m"
"koede","Pseudo",3,"m"
"films","HF",1,"n"
"zelfde","HF",1,"n"
"esjmse","Random",4,"m"
"aardig","HF",1,"n"
"kopje","HF",1,"n"
"graf","HF",1,"n"
"esttkren","Random",4,"m"
"halden","Pseudo",3,"m"
"olok","Random",4,"m"
"framboos","LF",2,"n"
"gegicht","Pseudo",3,"m"
"ueadfrs","Random",4,"m"
"eemeuwez","Random",4,"m"
"lorneel","Pseudo",3,"m"
"zjtleie","Random",4,"m"
"groeg","Pseudo",3,"m"
"sproek","Pseudo",3,"m"
"zuiden","HF",1,"n"
"estlels","Random",4,"m"
"bestaat","HF",1,"n"
"eiden","Pseudo",3,"m"
"'raoscb","Random",4,"m"
"factors","LF",2,"n"
"papjes","LF",2,"n"
"band","HF",1,"n"
"breng","HF",1,"n"
"mierzaam","Pseudo",3,"m"
"biek","Pseudo",3,"m"
"chalets","LF",2,"n"
"kollens","Pseudo",3,"m"
"schatjes","LF",2,"n"
"rerslait","Random",4,"m"
"alles","HF",1,"n"
"ivignsk","Random",4,"m"
"iiznjb","Random",4,"m"
"clip","LF",2,"n"
"aspect","HF",1,"n"
"vaklui","LF",2,"n"
"sletten","LF",2,"n"
"diva","LF",2,"n"
"vuilbak","LF",2,"n"
"vormt","HF",1,"n"
"mahstec","Random",4,"m"
"wieltje","LF",2,"n"
"snoetjes","LF",2,"n"
"wagen","HF",1,"n"
"pricht","Pseudo",3,"m"
"etwjese","Random",4,"m"
"oprpcno","Random",4,"m"
"letsels","LF",2,"n"
"damer","Pseudo",3,"m"
"rseart","Random",4,"m"
"preosjt","Random",4,"m"
"juli","HF",1,"n"
"greerde","Pseudo",3,"m"
"daarvan","HF",1,"n"
"doot","Pseudo",3,"m"
"sprake","HF",1,"n"
"gleufje","LF",2,"n"
"gelocht","Pseudo",3,"m"
"wansen","Pseudo",3,"m"
"ofschoon","HF",1,"n"
"hijf","Pseudo",3,"m"
"nadat","HF",1,"n"
"deiden","Pseudo",3,"m"
"kruikjes","LF",2,"n"
"bijeen","HF",1,"n"
"stenen","HF",1,"n"
"ejzeewps","Random",4,"m"
"fijn","HF",1,"n"
"kijsde","Pseudo",3,"m"
"griepje","LF",2,"n"
"pasta's","LF",2,"n"
"roosjes","LF",2,"n"
"wansen","Pseudo",3,"m"
"slijper","LF",2,"n"
"jatneash","Random",4,"m"
"bsireej","Random",4,"m"
"diefje","LF",2,"n"
"teefjes","LF",2,"n"
"wochten","Pseudo",3,"m"
"trtsseek","Random",4,"m"
"redden","HF",1,"n"
"broee","Pseudo",3,"m"
"spatje","LF",2,"n"
"hood","Pseudo",3,"m"
"droeg","HF",1,"n"
"atjenrta","Random",4,"m"
"sterren","HF",1,"n"
"geef","HF",1,"n"
"actief","HF",1,"n"
"popjes","LF",2,"n"
"pjseirl","Random",4,"m"
"viel","HF",1,"n"
"crbesoh","Random",4,"m"
"boezems","LF",2,"n"
"cazin","Pseudo",3,"m"
"fnstiet","Random",4,"m"
"touw","HF",1,"n"
"veel","HF",1,"n"
"flipper","LF",2,"n"
"t'aasps","Random",4,"m"
"desten","Pseudo",3,"m"
"genorgd","Pseudo",3,"m"
"laler","Pseudo",3,"m"
"scripts","LF",2,"n"
"kurwndi","Random",4,"m"
"muziek","HF",1,"n"
"trekken","HF",1,"n"
"vertrok","HF",1,"n"
"lso'os","Random",4,"m"
"tfsroac","Random",4,"m"
"hoopte","HF",1,"n"
"otel","Pseudo",3,"m"
"wormpje","LF",2,"n"
"eeelngt","Random",4,"m"
"egams","Random",4,"m"
"kijn","Pseudo",3,"m"
"reebok","LF",2,"n"
"roord","Pseudo",3,"m"
"trutje","LF",2,"n"
"kbrfoal","Random",4,"m"
"vierde","HF",1,"n"
"noemt","HF",1,"n"
"keste","Pseudo",3,"m"
"ltesbei","Random",4,"m"
"struikje","LF",2,"n"
"erbij","HF",1,"n"
"droog","HF",1,"n"
"glaarde","Pseudo",3,"m"
