"stimulus","cond","condition","correct_response"
"roopt","Pseudo",3,"m"
"oorzaak","HF",1,"n"
"items","LF",2,"n"
"soepbord","LF",2,"n"
"erger","HF",1,"n"
"brouben","Pseudo",3,"m"
"typisch","HF",1,"n"
"kolgt","Pseudo",3,"m"
"olijf","LF",2,"n"
"ziek","HF",1,"n"
"tollenr","Random",4,"m"
"goede","HF",1,"n"
"proton","LF",2,"n"
"rjteiefs","Random",4,"m"
"beitels","LF",2,"n"
"ksejeup","Random",4,"m"
"zolf","Pseudo",3,"m"
"armen","HF",1,"n"
"boezems","LF",2,"n"
"cosrs","Random",4,"m"
"zwaantje","LF",2,"n"
"tellers","LF",2,"n"
"ykceoh","Random",4,"m"
"eivnfu","Random",4,"m"
"owprjme","Random",4,"m"
"gleufjes","LF",2,"n"
"kreeg","HF",1,"n"
"braag","Pseudo",3,"m"
"daakt","Pseudo",3,"m"
"centraal","HF",1,"n"
"klaar","HF",1,"n"
"gevoomd","Pseudo",3,"m"
"ojjo","Random",4,"m"
"lijkjes","LF",2,"n"
"bijzin","LF",2,"n"
"begook","Pseudo",3,"m"
"jooi","Pseudo",3,"m"
"sutilpor","Random",4,"m"
"sneeg","Pseudo",3,"m"
"ehcltas","Random",4,"m"
"dichter","HF",1,"n"
"tfsroac","Random",4,"m"
"luid","HF",1,"n"
"motto's","LF",2,"n"
"ocsrotes","Random",4,"m"
"gien","Pseudo",3,"m"
"kskderid","Random",4,"m"
"vrijgen","Pseudo",3,"m"
"walruit","Pseudo",3,"m"
"vriend","HF",1,"n"
"geurtje","LF",2,"n"
"taxi","HF",1,"n"
"spiepen","Pseudo",3,"m"
"plateaus","LF",2,"n"
"vroog","Pseudo",3,"m"
"elipskn","Random",4,"m"
"belin","Pseudo",3,"m"
"vanaf","HF",1,"n"
"gala","LF",2,"n"
"rokjes","LF",2,"n"
"vuur","HF",1,"n"
"broubens","Pseudo",3,"m"
"keren","HF",1,"n"
"raster","LF",2,"n"
"judo","LF",2,"n"
"kleiren","Pseudo",3,"m"
"groter","HF",1,"n"
"tien","HF",1,"n"
"frink","Pseudo",3,"m"
"veuren","Pseudo",3,"m"
"draten","Pseudo",3,"m"
"prapdijk","Pseudo",3,"m"
"cross","LF",2,"n"
"bleem","Pseudo",3,"m"
"scibuit","Random",4,"m"
"stropje","LF",2,"n"
"tassach","Random",4,"m"
"mucht","Pseudo",3,"m"
"heerlijk","HF",1,"n"
"esdsetrs","Random",4,"m"
"zoentjes","LF",2,"n"
"licht","HF",1,"n"
"kicht","Pseudo",3,"m"
"kaasjes","LF",2,"n"
"turbo","LF",2,"n"
"straf","HF",1,"n"
"onze","HF",1,"n"
"tankjes","LF",2,"n"
"vlokjes","LF",2,"n"
"didden","Pseudo",3,"m"
"kang","Pseudo",3,"m"
"valers","Pseudo",3,"m"
"gebracht","HF",1,"n"
"pjdnea","Random",4,"m"
"streek","HF",1,"n"
"scat","Random",4,"m"
"trap","HF",1,"n"
"mentors","LF",2,"n"
"nakken","Pseudo",3,"m"
"hangen","HF",1,"n"
"nhtsi","Random",4,"m"
"lwipnkap","Random",4,"m"
"preosjt","Random",4,"m"
"sproet","LF",2,"n"
"raard","Pseudo",3,"m"
"roggen","LF",2,"n"
"starte","Pseudo",3,"m"
"sehrfifs","Random",4,"m"
"riacaal","Random",4,"m"
"desserts","LF",2,"n"
"jansara","Random",4,"m"
"kritiek","HF",1,"n"
"zuiltje","LF",2,"n"
"fgsueejl","Random",4,"m"
"gras","HF",1,"n"
"moeizaam","HF",1,"n"
"zwee","Pseudo",3,"m"
"jeirets","Random",4,"m"
"rdum","Random",4,"m"
"profs","LF",2,"n"
"kwaaltje","LF",2,"n"
"'artyps","Random",4,"m"
"iiznjb","Random",4,"m"
"poucon","Random",4,"m"
"bedoeld","HF",1,"n"
"rode","HF",1,"n"
"ceggen","Pseudo",3,"m"
