"stimulus","cond","condition","correct_response"
"bedraar","Pseudo",3,"m"
"lotjes","LF",2,"n"
"neoornhe","Random",4,"m"
"meest","HF",1,"n"
"geluid","HF",1,"n"
"slkovje","Random",4,"m"
"voorkomt","HF",1,"n"
"hood","Pseudo",3,"m"
"bopen","Pseudo",3,"m"
"stoesen","Pseudo",3,"m"
"spelen","HF",1,"n"
"wjzetere","Random",4,"m"
"vaid","Random",4,"m"
"deimje","Random",4,"m"
"leegten","LF",2,"n"
"voordom","Pseudo",3,"m"
"wegens","HF",1,"n"
"kurwndi","Random",4,"m"
"eiden","Pseudo",3,"m"
"hejen","Pseudo",3,"m"
"turbo","LF",2,"n"
"wenste","HF",1,"n"
"geheel","HF",1,"n"
"kloofje","LF",2,"n"
"beitels","LF",2,"n"
"breng","HF",1,"n"
"lannen","Pseudo",3,"m"
"besje","LF",2,"n"
"trutten","LF",2,"n"
"schrijft","HF",1,"n"
"dis'soc","Random",4,"m"
"boffen","LF",2,"n"
"obojegs","Random",4,"m"
"luister","HF",1,"n"
"kloofjes","LF",2,"n"
"zuiltjes","LF",2,"n"
"nuttig","HF",1,"n"
"lddepe","Random",4,"m"
"dacht","HF",1,"n"
"bertend","Pseudo",3,"m"
"esttkren","Random",4,"m"
"wand","HF",1,"n"
"fracht","Pseudo",3,"m"
"kelkiej","Random",4,"m"
"noelen","Pseudo",3,"m"
"baag","Pseudo",3,"m"
"krommen","LF",2,"n"
"achter","HF",1,"n"
"waandach","Pseudo",3,"m"
"wijntjes","LF",2,"n"
"meken","Pseudo",3,"m"
"uiltje","LF",2,"n"
"staf","HF",1,"n"
"vielen","HF",1,"n"
"skejtte","Random",4,"m"
"leel","Pseudo",3,"m"
"ovkoeet","Random",4,"m"
"toon","HF",1,"n"
"neutnr","Random",4,"m"
"lachts","Pseudo",3,"m"
"hekjes","LF",2,"n"
"pakti","Pseudo",3,"m"
"sterven","HF",1,"n"
"negen","HF",1,"n"
"volgt","HF",1,"n"
"waartje","Pseudo",3,"m"
"moekte","Pseudo",3,"m"
"cochniek","Pseudo",3,"m"
"pinda","LF",2,"n"
"streken","HF",1,"n"
"crbesoh","Random",4,"m"
"vent","HF",1,"n"
"ijsbeer","LF",2,"n"
"lawaai","HF",1,"n"
"oorbel","LF",2,"n"
"serres","LF",2,"n"
"trukt","Pseudo",3,"m"
"puiden","Pseudo",3,"m"
"glijbaan","LF",2,"n"
"gebeer","Pseudo",3,"m"
"rioeer","Random",4,"m"
"voeft","Pseudo",3,"m"
"wansen","Pseudo",3,"m"
"fout","HF",1,"n"
"dand","Pseudo",3,"m"
"voelen","HF",1,"n"
"verliend","Pseudo",3,"m"
"ejrhtas","Random",4,"m"
"buikjes","LF",2,"n"
"vlokje","LF",2,"n"
"boezems","LF",2,"n"
