"stimulus","cond","condition","correct_response"
"scheben","Pseudo",3,"m"
"gefeurd","Pseudo",3,"m"
"sa'ammg","Random",4,"m"
"reis","HF",1,"n"
"balies","LF",2,"n"
"nelpze","Random",4,"m"
"kungen","Pseudo",3,"m"
"vuilbak","LF",2,"n"
"etsefji","Random",4,"m"
"trsshi","Random",4,"m"
"poema's","LF",2,"n"
"geruld","Pseudo",3,"m"
"vollà","Pseudo",3,"m"
"plek","HF",1,"n"
"ortanco","Random",4,"m"
"hlnseuc","Random",4,"m"
"koude","HF",1,"n"
"zjtleie","Random",4,"m"
"trtsseek","Random",4,"m"
"dutjes","LF",2,"n"
"beloep","Pseudo",3,"m"
"grinzen","Pseudo",3,"m"
"ocsrotes","Random",4,"m"
"truegjes","Random",4,"m"
"gevoeld","HF",1,"n"
"dankbaar","HF",1,"n"
"hoepels","LF",2,"n"
"hege","Pseudo",3,"m"
"vliepen","Pseudo",3,"m"
"eesewsj","Random",4,"m"
"ryu'js","Random",4,"m"
"voekt","Pseudo",3,"m"
"stekkers","LF",2,"n"
"buren","HF",1,"n"
"voelen","HF",1,"n"
"liende","Pseudo",3,"m"
"breeg","Pseudo",3,"m"
"trol","LF",2,"n"
"idnseelz","Random",4,"m"
"ekjcat","Random",4,"m"
"eujtds","Random",4,"m"
"eerjtlku","Random",4,"m"
"sau'al","Random",4,"m"
"waarif","Pseudo",3,"m"
"pizza's","LF",2,"n"
"coudt","Pseudo",3,"m"
"tespja","Random",4,"m"
"tntijere","Random",4,"m"
"mevel","Pseudo",3,"m"
"flink","HF",1,"n"
"motto's","LF",2,"n"
"meukje","Pseudo",3,"m"
"vullen","HF",1,"n"
"walnoot","LF",2,"n"
"bleek","HF",1,"n"
"brang","Pseudo",3,"m"
"brechtig","Pseudo",3,"m"
"ueedjnts","Random",4,"m"
"nhtsi","Random",4,"m"
"noeken","Pseudo",3,"m"
"sportlui","LF",2,"n"
"deider","Pseudo",3,"m"
"framboos","LF",2,"n"
"soja","LF",2,"n"
"lso'os","Random",4,"m"
"gebied","HF",1,"n"
"lawaai","HF",1,"n"
"trouwens","HF",1,"n"
"vrijl","Pseudo",3,"m"
"eisers","LF",2,"n"
"faarden","Pseudo",3,"m"
"alsof","HF",1,"n"
"soepbord","LF",2,"n"
"vliesjes","LF",2,"n"
"feest","HF",1,"n"
"rudtmsel","Random",4,"m"
"meestal","HF",1,"n"
"ingang","HF",1,"n"
"gele","HF",1,"n"
"struikje","LF",2,"n"
"kalm","HF",1,"n"
"schiet","HF",1,"n"
"olpshee","Random",4,"m"
"enes","Pseudo",3,"m"
"stees","Pseudo",3,"m"
"beitels","LF",2,"n"
"jecht","Pseudo",3,"m"
"accu's","LF",2,"n"
"teveel","HF",1,"n"
"uijfeds","Random",4,"m"
"zeemeeuw","LF",2,"n"
"sterktes","LF",2,"n"
"boog","HF",1,"n"
"crbesoh","Random",4,"m"
"fipts","Pseudo",3,"m"
"simgkons","Random",4,"m"
"belied","Pseudo",3,"m"
"paak","Pseudo",3,"m"
"tseej","Random",4,"m"
"rseart","Random",4,"m"
"zachtjes","HF",1,"n"
"voortaan","HF",1,"n"
"gedat","Pseudo",3,"m"
"laagjes","LF",2,"n"
"hbnakol","Random",4,"m"
"esjmse","Random",4,"m"
"knipsel","LF",2,"n"
"gestuurd","HF",1,"n"
"egams","Random",4,"m"
"roeier","LF",2,"n"
"gunstig","HF",1,"n"
"bijeen","HF",1,"n"
"labels","LF",2,"n"
"been","HF",1,"n"
"idee","HF",1,"n"
"geleid","HF",1,"n"
"anders","HF",1,"n"
"hoogtes","LF",2,"n"
"lijkjes","LF",2,"n"
"duo's","LF",2,"n"
"meetlat","LF",2,"n"
"darmpje","LF",2,"n"
"iend","Pseudo",3,"m"
"betrof","HF",1,"n"
"dame","HF",1,"n"
"vergent","Pseudo",3,"m"
"sausjes","LF",2,"n"
"dadel","LF",2,"n"
"stup","Pseudo",3,"m"
"rgbuej","Random",4,"m"
"zaaltjes","LF",2,"n"
"nstuts","Random",4,"m"
"kkrestes","Random",4,"m"
"kleurtje","LF",2,"n"
"kloofjes","LF",2,"n"
"titel","HF",1,"n"
"snobs","LF",2,"n"
"kest","Pseudo",3,"m"
"volkjes","LF",2,"n"
"boezier","Pseudo",3,"m"
"ripenpt","Random",4,"m"
"leept","Pseudo",3,"m"
"shirts","LF",2,"n"
"rkoe","Random",4,"m"
"zware","HF",1,"n"
"alde","Pseudo",3,"m"
"hensie","Pseudo",3,"m"
"sezen","Pseudo",3,"m"
"cartoon","LF",2,"n"
"schrik","HF",1,"n"
"melst","Pseudo",3,"m"
"nabij","HF",1,"n"
"straten","HF",1,"n"
"vanden","Pseudo",3,"m"
"o'mpaes","Random",4,"m"
"kollens","Pseudo",3,"m"
"kliekje","LF",2,"n"
"pingpong","LF",2,"n"
"hookt","Pseudo",3,"m"
"zaal","HF",1,"n"
"gidsje","LF",2,"n"
"schont","Pseudo",3,"m"
"aspect","HF",1,"n"
"neuiks","Random",4,"m"
"tetozn","Random",4,"m"
"barons","LF",2,"n"
"oasj","Random",4,"m"
"etubrls","Random",4,"m"
"bewoog","HF",1,"n"
"uetijps","Random",4,"m"
"punk","LF",2,"n"
"elipskn","Random",4,"m"
"lolly's","LF",2,"n"
"kalfje","LF",2,"n"
"doorten","Pseudo",3,"m"
"pisjuets","Random",4,"m"
"forums","LF",2,"n"
"firma","HF",1,"n"
"mander","Pseudo",3,"m"
"iepgjer","Random",4,"m"
"werkmaas","Pseudo",3,"m"
"racebaan","LF",2,"n"
"finde","Pseudo",3,"m"
"melster","Pseudo",3,"m"
"lsede","Random",4,"m"
"zwart","HF",1,"n"
"o'usd","Random",4,"m"
"stemmen","HF",1,"n"
"jammer","HF",1,"n"
"surfers","LF",2,"n"
"eemeuwez","Random",4,"m"
"sgjkreoe","Random",4,"m"
"ujitlefs","Random",4,"m"
"kelkiej","Random",4,"m"
"lssaa","Random",4,"m"
"hege","Pseudo",3,"m"
"gehad","HF",1,"n"
"secjepsh","Random",4,"m"
"doben","Pseudo",3,"m"
"daarna","HF",1,"n"
"sraless","Random",4,"m"
"osgrle","Random",4,"m"
"bechte","Pseudo",3,"m"
"drig","Pseudo",3,"m"
"beslag","HF",1,"n"
"lolly","LF",2,"n"
"sandaal","LF",2,"n"
"koffer","HF",1,"n"
"nemen","HF",1,"n"
"mortiek","Pseudo",3,"m"
"prsuten","Random",4,"m"
"deukje","LF",2,"n"
"scooters","LF",2,"n"
"gevraald","Pseudo",3,"m"
"brood","HF",1,"n"
"rest","HF",1,"n"
"cruises","LF",2,"n"
"jorpesot","Random",4,"m"
"bosbes","LF",2,"n"
"hemel","HF",1,"n"
"kleiner","HF",1,"n"
"piemels","LF",2,"n"
"minder","HF",1,"n"
"smank","Pseudo",3,"m"
"olie","HF",1,"n"
"schat","HF",1,"n"
"kotje","LF",2,"n"
"schoud","Pseudo",3,"m"
"frierden","Pseudo",3,"m"
"sproet","LF",2,"n"
"eruit","HF",1,"n"
"glak","Pseudo",3,"m"
"obzmie","Random",4,"m"
"woorden","HF",1,"n"
"srejitep","Random",4,"m"
"welke","HF",1,"n"
"pijltjes","LF",2,"n"
"kicht","Pseudo",3,"m"
"prinsjes","LF",2,"n"
"ermen","Pseudo",3,"m"
