"stimulus","cond","condition","correct_response"
"rollen","HF",1,"n"
"pabt","Pseudo",3,"m"
"volkjes","LF",2,"n"
"nagjabil","Random",4,"m"
"bsireej","Random",4,"m"
"eenhoorn","LF",2,"n"
"wijd","HF",1,"n"
"braag","Pseudo",3,"m"
"schrijft","HF",1,"n"
"rfomus","Random",4,"m"
"pentool","Pseudo",3,"m"
"kleurtje","LF",2,"n"
"fijne","HF",1,"n"
"kijn","Pseudo",3,"m"
"stofjes","LF",2,"n"
"ponmer","Random",4,"m"
"zweepjes","LF",2,"n"
"slipjes","LF",2,"n"
"heet","HF",1,"n"
"crbesoh","Random",4,"m"
"vanzelf","HF",1,"n"
"leeuwtje","LF",2,"n"
"meidde","Pseudo",3,"m"
"zeende","Pseudo",3,"m"
"bladie","Pseudo",3,"m"
"boffen","LF",2,"n"
"szza'ip","Random",4,"m"
"westerns","LF",2,"n"
"rends","Pseudo",3,"m"
"ajuin","LF",2,"n"
"ging","HF",1,"n"
"dutjes","LF",2,"n"
"eestijk","Pseudo",3,"m"
"uiltje","LF",2,"n"
"soepje","LF",2,"n"
"feitjes","LF",2,"n"
"pnoesns","Random",4,"m"
"vernocht","Pseudo",3,"m"
"pauzen","LF",2,"n"
"plant","HF",1,"n"
"kkrestes","Random",4,"m"
"atsfje","Random",4,"m"
"gleufje","LF",2,"n"
"cochten","Pseudo",3,"m"
"bijders","Pseudo",3,"m"
"begen","Pseudo",3,"m"
"esdoorn","LF",2,"n"
"astleps","Random",4,"m"
"schouder","HF",1,"n"
"jury's","LF",2,"n"
"profs","LF",2,"n"
"o'smott","Random",4,"m"
"desserts","LF",2,"n"
"bewust","HF",1,"n"
"nachtjes","LF",2,"n"
"vlokjes","LF",2,"n"
"kichten","Pseudo",3,"m"
"kljove","Random",4,"m"
"ervan","HF",1,"n"
"hoeveel","HF",1,"n"
"kwirt","Pseudo",3,"m"
"helfde","Pseudo",3,"m"
"vruchtje","LF",2,"n"
"drinken","HF",1,"n"
"liende","Pseudo",3,"m"
"asbbalel","Random",4,"m"
"sammer","Pseudo",3,"m"
"prsuten","Random",4,"m"
"gesmeeld","Pseudo",3,"m"
"fgsueejl","Random",4,"m"
"maakte","HF",1,"n"
"succes","HF",1,"n"
"cochniek","Pseudo",3,"m"
"maand","HF",1,"n"
"avhjcrte","Random",4,"m"
"wochten","Pseudo",3,"m"
"zeemeeuw","LF",2,"n"
"zaken","HF",1,"n"
"cruises","LF",2,"n"
"igwjees","Random",4,"m"
"mander","Pseudo",3,"m"
"zweeg","HF",1,"n"
"trio's","LF",2,"n"
"typist","LF",2,"n"
"soepbord","LF",2,"n"
"legse","Pseudo",3,"m"
"indands","Pseudo",3,"m"
"ivignsk","Random",4,"m"
"wild","HF",1,"n"
"popcorn","LF",2,"n"
"chalets","LF",2,"n"
"tassach","Random",4,"m"
"brachten","HF",1,"n"
"stafje","LF",2,"n"
"sjersoo","Random",4,"m"
"vliesjes","LF",2,"n"
"luikjes","LF",2,"n"
"zangen","LF",2,"n"
"alde","Pseudo",3,"m"
"bloef","Pseudo",3,"m"
"fussen","Pseudo",3,"m"
"nakken","Pseudo",3,"m"
"lbuvaki","Random",4,"m"
"pind","Pseudo",3,"m"
"rede","HF",1,"n"
"blijven","HF",1,"n"
"soja","LF",2,"n"
"anncesrs","Random",4,"m"
"morgen","HF",1,"n"
"vormde","HF",1,"n"
"vader","HF",1,"n"
"zout","HF",1,"n"
"puut","Pseudo",3,"m"
"cultuur","HF",1,"n"
"jugi","Pseudo",3,"m"
"pastoor","HF",1,"n"
"ansa'uf","Random",4,"m"
"breeg","Pseudo",3,"m"
"vanuit","HF",1,"n"
"owprjme","Random",4,"m"
"snaan","Pseudo",3,"m"
"vlaai","LF",2,"n"
"zjtleie","Random",4,"m"
"oopl","Random",4,"m"
"sauan's","Random",4,"m"
"kold","Pseudo",3,"m"
"kraad","Pseudo",3,"m"
"earrspt","Random",4,"m"
"seenstj","Random",4,"m"
"stap","HF",1,"n"
"tango's","LF",2,"n"
"toonde","HF",1,"n"
"tumors","LF",2,"n"
"peukjes","LF",2,"n"
"zalfjes","LF",2,"n"
"stijs","Pseudo",3,"m"
"legagn","Random",4,"m"
"meende","HF",1,"n"
"stond","HF",1,"n"
"krrame","Random",4,"m"
"lift","HF",1,"n"
"kaasjes","LF",2,"n"
"agenzn","Random",4,"m"
"verblier","Pseudo",3,"m"
"gelooft","HF",1,"n"
"einde","HF",1,"n"
"willen","HF",1,"n"
"helaar","Pseudo",3,"m"
"koedend","Pseudo",3,"m"
"toekunst","Pseudo",3,"m"
"woning","HF",1,"n"
"polsjes","LF",2,"n"
"npdia","Random",4,"m"
"dwals","Pseudo",3,"m"
"wang","HF",1,"n"
"hoewel","HF",1,"n"
"drie","HF",1,"n"
"zuiltjes","LF",2,"n"
"nacht","HF",1,"n"
"eujtds","Random",4,"m"
"sorbet","LF",2,"n"
"maakten","HF",1,"n"
"emjsite","Random",4,"m"
"koer","LF",2,"n"
"geweer","HF",1,"n"
"vlaktes","LF",2,"n"
"haantjes","LF",2,"n"
"eletjiz","Random",4,"m"
"blacht","Pseudo",3,"m"
"koetje","LF",2,"n"
"madiek","Pseudo",3,"m"
"wapens","HF",1,"n"
"vrouw","HF",1,"n"
"ejdevls","Random",4,"m"
"meken","Pseudo",3,"m"
"wratjes","LF",2,"n"
"duifjes","LF",2,"n"
"ofpsr","Random",4,"m"
"esborpod","Random",4,"m"
"golf","HF",1,"n"
"ackse","Random",4,"m"
