"stimulus","cond","condition","correct_response"
"geurtje","LF",2,"n"
"rief","Pseudo",3,"m"
"spitcrs","Random",4,"m"
"stesde","Pseudo",3,"m"
"balkje","LF",2,"n"
"duo's","LF",2,"n"
"wjzetere","Random",4,"m"
"almes","Pseudo",3,"m"
"onel","Pseudo",3,"m"
"ajuin","LF",2,"n"
"ekzhito","Random",4,"m"
"drinken","HF",1,"n"
"uitrecht","Pseudo",3,"m"
"skejtte","Random",4,"m"
"desserts","LF",2,"n"
"otters","LF",2,"n"
"vijfde","HF",1,"n"
"noet","Pseudo",3,"m"
"biscuit","LF",2,"n"
"uodj","Random",4,"m"
"akkoord","HF",1,"n"
"raad","HF",1,"n"
"liek","Pseudo",3,"m"
"gemien","Pseudo",3,"m"
"dangen","Pseudo",3,"m"
"slaebl","Random",4,"m"
"stenker","Pseudo",3,"m"
"mader","Pseudo",3,"m"
"betreft","HF",1,"n"
"vormen","HF",1,"n"
"zicht","HF",1,"n"
"eerels","Pseudo",3,"m"
"bsireej","Random",4,"m"
"paniek","HF",1,"n"
"alle","HF",1,"n"
"samen","HF",1,"n"
"zolf","Pseudo",3,"m"
"coupons","LF",2,"n"
"trutten","LF",2,"n"
"fede","Pseudo",3,"m"
"tncshaej","Random",4,"m"
"eisers","LF",2,"n"
"hijf","Pseudo",3,"m"
"slon","Pseudo",3,"m"
"bellen","HF",1,"n"
"kijzen","Pseudo",3,"m"
"buizerds","LF",2,"n"
"best","HF",1,"n"
"terecht","HF",1,"n"
"cycloon","LF",2,"n"
"macht","HF",1,"n"
"doewel","Pseudo",3,"m"
"leeuwtje","LF",2,"n"
"gezicht","HF",1,"n"
"oetjls","Random",4,"m"
"plooitje","LF",2,"n"
"zover","HF",1,"n"
"facht","Pseudo",3,"m"
"rivier","HF",1,"n"
"eteljs","Random",4,"m"
"weten","HF",1,"n"
"deek","Pseudo",3,"m"
"balseja","Random",4,"m"
"albums","LF",2,"n"
"abbes","Pseudo",3,"m"
"bionz","Random",4,"m"
"gevraagd","HF",1,"n"
"gevield","Pseudo",3,"m"
"steden","HF",1,"n"
"uiteen","HF",1,"n"
"gedend","Pseudo",3,"m"
"hoed","HF",1,"n"
"ierand","Pseudo",3,"m"
"semfar","Random",4,"m"
"halden","Pseudo",3,"m"
"poema's","LF",2,"n"
"beeke","Pseudo",3,"m"
"tikker","LF",2,"n"
"pasta's","LF",2,"n"
"eignrgb","Random",4,"m"
"lijken","HF",1,"n"
"plateaus","LF",2,"n"
"eembozs","Random",4,"m"
"paslejs","Random",4,"m"
"edbjsonl","Random",4,"m"
"soms","HF",1,"n"
"erdij","Pseudo",3,"m"
"oarcrtts","Random",4,"m"
"bomen","HF",1,"n"
"rarde","Pseudo",3,"m"
"blijf","HF",1,"n"
"traantje","LF",2,"n"
"blif","Pseudo",3,"m"
"begrip","HF",1,"n"
"oorbel","LF",2,"n"
"jeirets","Random",4,"m"
"consact","Pseudo",3,"m"
"cosrs","Random",4,"m"
"vaid","Random",4,"m"
"plepfir","Random",4,"m"
"meeirrs","Random",4,"m"
"knieën","HF",1,"n"
"brochten","Pseudo",3,"m"
"vleesmes","LF",2,"n"
"taas","Pseudo",3,"m"
"vergiet","LF",2,"n"
"anver","Pseudo",3,"m"
"eitel","Pseudo",3,"m"
"voorbij","HF",1,"n"
"okjres","Random",4,"m"
"neuiks","Random",4,"m"
"blaasje","LF",2,"n"
"muiltje","LF",2,"n"
"uiterst","HF",1,"n"
"krrame","Random",4,"m"
"vrachtje","LF",2,"n"
"wipplank","LF",2,"n"
"eujtds","Random",4,"m"
"outsen","Pseudo",3,"m"
"zelfde","HF",1,"n"
"sletje","LF",2,"n"
"opyhtn","Random",4,"m"
"spelen","HF",1,"n"
"bezwaar","HF",1,"n"
"zwak","HF",1,"n"
"punk","LF",2,"n"
"teken","HF",1,"n"
"gedoerd","Pseudo",3,"m"
"deven","Pseudo",3,"m"
"zitjes","LF",2,"n"
"brepen","Pseudo",3,"m"
"olret","Pseudo",3,"m"
"eiljtwed","Random",4,"m"
"kaarten","HF",1,"n"
"tien","HF",1,"n"
"esdsetrs","Random",4,"m"
"utjbrue","Random",4,"m"
"hbnakol","Random",4,"m"
"weekjes","LF",2,"n"
"praters","LF",2,"n"
"preosjt","Random",4,"m"
"plasjes","LF",2,"n"
"beloep","Pseudo",3,"m"
"acarabne","Random",4,"m"
"lengtes","LF",2,"n"
"bezorgd","HF",1,"n"
"zalfjes","LF",2,"n"
"oasj","Random",4,"m"
"selder","LF",2,"n"
"bowling","LF",2,"n"
