"stimulus","cond","condition","correct_response"
"gaan","HF",1,"n"
"weesjes","LF",2,"n"
"tonen","HF",1,"n"
"vruchtje","LF",2,"n"
"wetten","HF",1,"n"
"houdt","HF",1,"n"
"lieuws","Pseudo",3,"m"
"jgdraae","Random",4,"m"
"zoentjes","LF",2,"n"
"drum","LF",2,"n"
"rkcicet","Random",4,"m"
"pemdrja","Random",4,"m"
"grond","HF",1,"n"
"groepen","HF",1,"n"
"term","HF",1,"n"
"behoel","Pseudo",3,"m"
"bopen","Pseudo",3,"m"
"verwucht","Pseudo",3,"m"
"lelen","Pseudo",3,"m"
"damer","Pseudo",3,"m"
"sproekt","Pseudo",3,"m"
"kbrfoal","Random",4,"m"
"eirtnprs","Random",4,"m"
"plannen","HF",1,"n"
"rseart","Random",4,"m"
"huimen","Pseudo",3,"m"
"praatte","HF",1,"n"
"eerste","HF",1,"n"
"cobra's","LF",2,"n"
"hand","HF",1,"n"
"tander","Pseudo",3,"m"
"surfen","LF",2,"n"
"fovo","Pseudo",3,"m"
"buiten","HF",1,"n"
"dmjeaasn","Random",4,"m"
"klinkt","HF",1,"n"
"boceel","Pseudo",3,"m"
"hoger","HF",1,"n"
"neusjes","LF",2,"n"
"tnjoteso","Random",4,"m"
"ekstejes","Random",4,"m"
"ortocds","Random",4,"m"
"ontsiend","Pseudo",3,"m"
"handgag","Pseudo",3,"m"
"stuk","HF",1,"n"
"laetrir","Random",4,"m"
"frietjes","LF",2,"n"
"dpaakn","Random",4,"m"
"saren","Pseudo",3,"m"
"straat","HF",1,"n"
"hensie","Pseudo",3,"m"
"vlaai","LF",2,"n"
"wratje","LF",2,"n"
"watjes","LF",2,"n"
"smokings","LF",2,"n"
"rook","HF",1,"n"
"'artyps","Random",4,"m"
"kraker","LF",2,"n"
"vormde","HF",1,"n"
"secjepsh","Random",4,"m"
"vocaal","LF",2,"n"
"clip","LF",2,"n"
"vijltje","LF",2,"n"
"ktsea","Random",4,"m"
"beesden","Pseudo",3,"m"
"darmpje","LF",2,"n"
"schorp","Pseudo",3,"m"
"fracht","Pseudo",3,"m"
"balseja","Random",4,"m"
"tekstje","LF",2,"n"
"aftijn","Pseudo",3,"m"
"oortje","LF",2,"n"
"trtsseek","Random",4,"m"
"kneeën","Pseudo",3,"m"
"rdum","Random",4,"m"
"slamp","Pseudo",3,"m"
"smiert","Random",4,"m"
"nuttig","HF",1,"n"
"graadje","LF",2,"n"
"toneel","HF",1,"n"
"iejlvegs","Random",4,"m"
"okjres","Random",4,"m"
"ritsen","LF",2,"n"
"kartons","LF",2,"n"
"krechten","Pseudo",3,"m"
"kaart","HF",1,"n"
"abant","Pseudo",3,"m"
"vrachtje","LF",2,"n"
"walnoot","LF",2,"n"
"ldosoje","Random",4,"m"
"flipper","LF",2,"n"
"schrak","Pseudo",3,"m"
"duren","HF",1,"n"
"doden","HF",1,"n"
"teksten","HF",1,"n"
"trio's","LF",2,"n"
"sa'ammg","Random",4,"m"
"stekkers","LF",2,"n"
"zombies","LF",2,"n"
"bevacht","Pseudo",3,"m"
"onze","HF",1,"n"
"proton","LF",2,"n"
"pdteies","Random",4,"m"
"hoofdzin","LF",2,"n"
"kanten","HF",1,"n"
"rode","HF",1,"n"
"pijn","HF",1,"n"
"hijf","Pseudo",3,"m"
"iertmje","Random",4,"m"
"ueadfrs","Random",4,"m"
"idnseelz","Random",4,"m"
"loy'lsl","Random",4,"m"
"oten","Pseudo",3,"m"
"ipystt","Random",4,"m"
"grijt","Pseudo",3,"m"
"leufgej","Random",4,"m"
"waandach","Pseudo",3,"m"
"hulpjes","LF",2,"n"
"dangt","Pseudo",3,"m"
"gelierd","Pseudo",3,"m"
"erter","Pseudo",3,"m"
"rudtmsel","Random",4,"m"
"izobsn","Random",4,"m"
"telkens","HF",1,"n"
"gemien","Pseudo",3,"m"
"ezgreils","Random",4,"m"
"loodjes","LF",2,"n"
"jojo's","LF",2,"n"
"brechtig","Pseudo",3,"m"
"kregen","HF",1,"n"
"jeefets","Random",4,"m"
"vijken","Pseudo",3,"m"
"pinda","LF",2,"n"
"jokers","LF",2,"n"
"gauw","HF",1,"n"
"deek","Pseudo",3,"m"
"obojegs","Random",4,"m"
"'gantos","Random",4,"m"
"eilabs","Random",4,"m"
"lippen","HF",1,"n"
"reizen","HF",1,"n"
"blelen","Pseudo",3,"m"
"labels","LF",2,"n"
"daarvan","HF",1,"n"
"handel","HF",1,"n"
"nasnok","Random",4,"m"
"steden","HF",1,"n"
"flora's","LF",2,"n"
"dtjnae","Random",4,"m"
"spitcrs","Random",4,"m"
"bechte","Pseudo",3,"m"
"hielden","HF",1,"n"
"kapot","HF",1,"n"
"forums","LF",2,"n"
"krijk","Pseudo",3,"m"
"aktes","LF",2,"n"
"vertelt","HF",1,"n"
"kwart","HF",1,"n"
"olrt","Random",4,"m"
"ejposm","Random",4,"m"
"icht","Pseudo",3,"m"
"thuis","HF",1,"n"
"kuigend","Pseudo",3,"m"
"dnjesar","Random",4,"m"
"dechtte","Pseudo",3,"m"
"stopte","HF",1,"n"
"ceggen","Pseudo",3,"m"
"dacht","HF",1,"n"
"oreolb","Random",4,"m"
"prond","Pseudo",3,"m"
"neis","Pseudo",3,"m"
"pomen","Pseudo",3,"m"
"soepbord","LF",2,"n"
"gebeer","Pseudo",3,"m"
"massa","HF",1,"n"
"ribeuzd","Random",4,"m"
"gesmeeld","Pseudo",3,"m"
"koud","HF",1,"n"
"omlaag","HF",1,"n"
"trol","LF",2,"n"
"paak","Pseudo",3,"m"
"uuagrk","Random",4,"m"
"koop","HF",1,"n"
"spof","Pseudo",3,"m"
"serpent","LF",2,"n"
"lijn","HF",1,"n"
"snack","LF",2,"n"
"wacht","HF",1,"n"
"lagen","HF",1,"n"
"wormpjes","LF",2,"n"
"avial","Random",4,"m"
"voch","Pseudo",3,"m"
"rosndo","Random",4,"m"
"tollenr","Random",4,"m"
"blonde","HF",1,"n"
"zuiltje","LF",2,"n"
"ilus","Pseudo",3,"m"
"lssaa","Random",4,"m"
"vanken","Pseudo",3,"m"
"zeefje","LF",2,"n"
"hbnakol","Random",4,"m"
"sleutel","HF",1,"n"
"goals","LF",2,"n"
"kwaten","Pseudo",3,"m"
"zijn","HF",1,"n"
"beitels","LF",2,"n"
"derken","Pseudo",3,"m"
"leeuwtje","LF",2,"n"
"jatkalwe","Random",4,"m"
"naar","HF",1,"n"
"pandje","LF",2,"n"
"verneeld","Pseudo",3,"m"
"kliekje","LF",2,"n"
"tegen","HF",1,"n"
"turnen","LF",2,"n"
"chalets","LF",2,"n"
"cingen","Pseudo",3,"m"
"systeem","HF",1,"n"
"ubtrsoti","Random",4,"m"
"tikker","LF",2,"n"
"zieltjes","LF",2,"n"
"puistje","LF",2,"n"
"kloofjes","LF",2,"n"
"straks","HF",1,"n"
"ehcltas","Random",4,"m"
"uaijn","Random",4,"m"
"atoornsc","Random",4,"m"
"uodj","Random",4,"m"
"vreles","Random",4,"m"
"poortjes","LF",2,"n"
"gemak","HF",1,"n"
"vandaan","HF",1,"n"
"bekjes","LF",2,"n"
"luikjes","LF",2,"n"
"pgonnpgi","Random",4,"m"
"schulk","Pseudo",3,"m"
"broog","Pseudo",3,"m"
"igwjees","Random",4,"m"
"verzoek","HF",1,"n"
"aptiem","Pseudo",3,"m"
