"stimulus","cond","condition","correct_response"
"coupons","LF",2,"n"
"ackse","Random",4,"m"
"ansa'uf","Random",4,"m"
"ventjes","LF",2,"n"
"veldjes","LF",2,"n"
"gevoel","HF",1,"n"
"items","LF",2,"n"
"werkmaas","Pseudo",3,"m"
"hoek","HF",1,"n"
"vrouw","HF",1,"n"
"etlens","Random",4,"m"
"usjem","Random",4,"m"
"haarband","LF",2,"n"
"rondes","LF",2,"n"
"ekzhito","Random",4,"m"
"akloop","Pseudo",3,"m"
"retebjes","Random",4,"m"
"zeiltje","LF",2,"n"
"muljpepi","Random",4,"m"
"tizjwnje","Random",4,"m"
"ebnfof","Random",4,"m"
"studie","HF",1,"n"
"mozij","Pseudo",3,"m"
"zormt","Pseudo",3,"m"
"serres","LF",2,"n"
"eentje","HF",1,"n"
"ajaelsg","Random",4,"m"
"esatips","Random",4,"m"
"klagers","LF",2,"n"
"tijdstip","HF",1,"n"
"cout","Pseudo",3,"m"
"knikke","Pseudo",3,"m"
"gegt","Pseudo",3,"m"
"stierf","HF",1,"n"
"gebaar","HF",1,"n"
"modem","LF",2,"n"
"schulk","Pseudo",3,"m"
"wild","HF",1,"n"
"us'cac","Random",4,"m"
"april","HF",1,"n"
"wiegjes","LF",2,"n"
"dames","HF",1,"n"
"vrode","Pseudo",3,"m"
"zuchtjes","LF",2,"n"
"soms","HF",1,"n"
"zangen","LF",2,"n"
"stezen","Pseudo",3,"m"
"tuin","HF",1,"n"
"pty'ans","Random",4,"m"
"facht","Pseudo",3,"m"
"andslaa","Random",4,"m"
"rokjes","LF",2,"n"
"schoden","Pseudo",3,"m"
"rbz'aes","Random",4,"m"
"plooitje","LF",2,"n"
"greden","Pseudo",3,"m"
"verte","HF",1,"n"
"etsefji","Random",4,"m"
"rijle","Pseudo",3,"m"
"herst","Pseudo",3,"m"
"mijn","HF",1,"n"
"banden","HF",1,"n"
"lachen","HF",1,"n"
"wesdergj","Random",4,"m"
"tijesgwj","Random",4,"m"
"kast","HF",1,"n"
"cingens","Pseudo",3,"m"
"spaties","LF",2,"n"
"moenen","Pseudo",3,"m"
"rechtam","Pseudo",3,"m"
"epmeils","Random",4,"m"
"koordjes","LF",2,"n"
"stoppen","HF",1,"n"
"wereld","HF",1,"n"
"olog","Random",4,"m"
"zwak","HF",1,"n"
"nopotr","Random",4,"m"
"lassers","LF",2,"n"
"ervbe","Random",4,"m"
"kringen","HF",1,"n"
"ktsea","Random",4,"m"
"emjsite","Random",4,"m"
"eujtds","Random",4,"m"
"olok","Random",4,"m"
"ossrbek","Random",4,"m"
"stijs","Pseudo",3,"m"
"rivier","HF",1,"n"
"steet","Pseudo",3,"m"
"atjenrta","Random",4,"m"
"krommen","LF",2,"n"
"keeewjs","Random",4,"m"
"belocht","Pseudo",3,"m"
"vrijwel","HF",1,"n"
"olaavc","Random",4,"m"
"enrdoos","Random",4,"m"
"gewend","HF",1,"n"
"games","LF",2,"n"
"vruchtje","LF",2,"n"
"aavgrsej","Random",4,"m"
"ajsped","Random",4,"m"
"lutters","Pseudo",3,"m"
"treintje","LF",2,"n"
"aand","Pseudo",3,"m"
"oten","Pseudo",3,"m"
"moesten","HF",1,"n"
"jeefets","Random",4,"m"
"systeem","HF",1,"n"
"gering","HF",1,"n"
"kleurtje","LF",2,"n"
"prappen","Pseudo",3,"m"
"jojo's","LF",2,"n"
"maandje","LF",2,"n"
"traag","HF",1,"n"
"tfsroac","Random",4,"m"
"sprik","Pseudo",3,"m"
"beus","Pseudo",3,"m"
"griwen","Pseudo",3,"m"
"omstag","Pseudo",3,"m"
"bestold","Pseudo",3,"m"
"raims'ps","Random",4,"m"
"gedecht","Pseudo",3,"m"
"balkje","LF",2,"n"
"vrachtje","LF",2,"n"
"stezen","Pseudo",3,"m"
"dankbaar","HF",1,"n"
"roman","HF",1,"n"
"serste","Pseudo",3,"m"
"esttkren","Random",4,"m"
"butlers","LF",2,"n"
"ervan","HF",1,"n"
"rolluik","LF",2,"n"
"zjtleie","Random",4,"m"
"ijeplss","Random",4,"m"
"tango's","LF",2,"n"
"naal","Pseudo",3,"m"
"ojstep","Random",4,"m"
"voodden","Pseudo",3,"m"
"bsireej","Random",4,"m"
"succes","HF",1,"n"
"vergiet","LF",2,"n"
"beiken","Pseudo",3,"m"
"zwaantje","LF",2,"n"
"normaal","HF",1,"n"
"mlione","Random",4,"m"
"thee","HF",1,"n"
"juiste","HF",1,"n"
"vonden","HF",1,"n"
"dutjes","LF",2,"n"
"neusjes","LF",2,"n"
"pdteies","Random",4,"m"
"plant","HF",1,"n"
"bliemen","Pseudo",3,"m"
"olrt","Random",4,"m"
"isjtenwj","Random",4,"m"
"brugje","LF",2,"n"
"draagt","HF",1,"n"
"t'aasps","Random",4,"m"
"lunches","LF",2,"n"
"rally","LF",2,"n"
"klaar","HF",1,"n"
"faven","Pseudo",3,"m"
"luikjes","LF",2,"n"
"fnstiet","Random",4,"m"
"spraken","HF",1,"n"
"glak","Pseudo",3,"m"
"beloort","Pseudo",3,"m"
"utjbrue","Random",4,"m"
"flat","HF",1,"n"
"meidde","Pseudo",3,"m"
"zebra's","LF",2,"n"
"pprelis","Random",4,"m"
"puistje","LF",2,"n"
"plonsen","LF",2,"n"
"sgisend","Random",4,"m"
"mango's","LF",2,"n"
"spoor","HF",1,"n"
"preosjt","Random",4,"m"
"bopen","Pseudo",3,"m"
"daakt","Pseudo",3,"m"
"abbes","Pseudo",3,"m"
"gleufje","LF",2,"n"
"fraudes","LF",2,"n"
"dsael","Random",4,"m"
"alweer","HF",1,"n"
"laetrir","Random",4,"m"
"hingen","HF",1,"n"
"mail","LF",2,"n"
"soldaat","HF",1,"n"
"racebaan","LF",2,"n"
"polsjes","LF",2,"n"
"stortbui","LF",2,"n"
"nstuts","Random",4,"m"
"lingen","Pseudo",3,"m"
"inzicht","HF",1,"n"
"bijk","Pseudo",3,"m"
"oekejt","Random",4,"m"
"geeft","HF",1,"n"
"dindbaar","Pseudo",3,"m"
"trief","Pseudo",3,"m"
"paahjcse","Random",4,"m"
"drinzen","Pseudo",3,"m"
"griezels","LF",2,"n"
"pelososd","Random",4,"m"
"clowntje","LF",2,"n"
"ortanco","Random",4,"m"
"vliegen","HF",1,"n"
"lijnen","HF",1,"n"
"zotten","LF",2,"n"
"uiting","HF",1,"n"
"locynco","Random",4,"m"
"bevrijpt","Pseudo",3,"m"
"auteur","HF",1,"n"
"wassen","HF",1,"n"
"totaal","HF",1,"n"
"sienen","Pseudo",3,"m"
"nodig","HF",1,"n"
"trin","Pseudo",3,"m"
"brof","Pseudo",3,"m"
"chef","HF",1,"n"
"zieltjes","LF",2,"n"
"vooram","Pseudo",3,"m"
"knikjes","LF",2,"n"
"grens","HF",1,"n"
"moekten","Pseudo",3,"m"
"vrolijk","HF",1,"n"
"zieltje","LF",2,"n"
"stekjes","Pseudo",3,"m"
"inze","Pseudo",3,"m"
"gommen","LF",2,"n"
"stekel","LF",2,"n"
"besjes","LF",2,"n"
"lietst","Pseudo",3,"m"
"velen","HF",1,"n"
"walnoot","LF",2,"n"
"sletten","LF",2,"n"
"faarden","Pseudo",3,"m"
"kleiner","HF",1,"n"
"eteelsj","Random",4,"m"
"karm","Pseudo",3,"m"
"wieltje","LF",2,"n"
