"stimulus","cond","condition","correct_response"
"berging","LF",2,"n"
"dringen","HF",1,"n"
"verstand","HF",1,"n"
"kkarer","Random",4,"m"
"dechting","Pseudo",3,"m"
"eirtsn","Random",4,"m"
"spieren","HF",1,"n"
"knuffel","LF",2,"n"
"helft","HF",1,"n"
"taluepas","Random",4,"m"
"koctor","Pseudo",3,"m"
"blad","HF",1,"n"
"pty'ans","Random",4,"m"
"griezels","LF",2,"n"
"aktes","LF",2,"n"
"rceuiss","Random",4,"m"
"cout","Pseudo",3,"m"
"veed","Pseudo",3,"m"
"kneeën","Pseudo",3,"m"
"raster","LF",2,"n"
"aula's","LF",2,"n"
"zoveel","HF",1,"n"
"spreekt","HF",1,"n"
"tango's","LF",2,"n"
"minaag","Pseudo",3,"m"
"omdat","HF",1,"n"
"vuilbak","LF",2,"n"
"koortje","LF",2,"n"
"hulpjes","LF",2,"n"
"rondes","LF",2,"n"
"beertjes","LF",2,"n"
"termen","HF",1,"n"
"bdejse","Random",4,"m"
"waren","HF",1,"n"
"veldjes","LF",2,"n"
"bijd","Pseudo",3,"m"
"slon","Pseudo",3,"m"
"naabhdar","Random",4,"m"
"sletje","LF",2,"n"
"spiepen","Pseudo",3,"m"
"dojkoers","Random",4,"m"
"bizon","LF",2,"n"
"vrachtje","LF",2,"n"
"esjmse","Random",4,"m"
"pizza's","LF",2,"n"
"daaf","Pseudo",3,"m"
"leider","HF",1,"n"
"truitjes","LF",2,"n"
"reedling","Pseudo",3,"m"
"sorbet","LF",2,"n"
"ejzeewps","Random",4,"m"
"lengtes","LF",2,"n"
"salgo","Random",4,"m"
"toort","Pseudo",3,"m"
"musje","LF",2,"n"
"sebje","Random",4,"m"
"tlentse","Random",4,"m"
"sandaal","LF",2,"n"
"kring","HF",1,"n"
"deals","LF",2,"n"
"lipuur","Pseudo",3,"m"
"leel","Pseudo",3,"m"
"autist","LF",2,"n"
"cingen","Pseudo",3,"m"
"nhtsi","Random",4,"m"
"krijgen","HF",1,"n"
"genaard","Pseudo",3,"m"
"fogen","Pseudo",3,"m"
"ineens","HF",1,"n"
"blacht","Pseudo",3,"m"
"grijle","Pseudo",3,"m"
"laagjes","LF",2,"n"
"ebalmss","Random",4,"m"
"staande","HF",1,"n"
"haad","Pseudo",3,"m"
"kejsaa","Random",4,"m"
"verteld","HF",1,"n"
"gebracht","HF",1,"n"
"gamma's","LF",2,"n"
"kijn","Pseudo",3,"m"
"aand","Pseudo",3,"m"
"bezocht","HF",1,"n"
"pnoesns","Random",4,"m"
"ribeuzd","Random",4,"m"
"poortjes","LF",2,"n"
"kranten","HF",1,"n"
"prap","Pseudo",3,"m"
"framboos","LF",2,"n"
"igwjees","Random",4,"m"
"brandje","LF",2,"n"
"olrt","Random",4,"m"
"betooft","Pseudo",3,"m"
