"stimulus","cond","condition","correct_response"
"kosten","HF",1,"n"
"sa'ammg","Random",4,"m"
"sponsen","LF",2,"n"
"daaf","Pseudo",3,"m"
"rimeupsr","Random",4,"m"
"deukje","LF",2,"n"
"kliekjes","LF",2,"n"
"pilsjes","LF",2,"n"
"zoutvat","LF",2,"n"
"honderd","HF",1,"n"
"dond","Pseudo",3,"m"
"paak","Pseudo",3,"m"
"jonge","HF",1,"n"
"dinden","Pseudo",3,"m"
"zeefje","LF",2,"n"
"vermoord","HF",1,"n"
"ltdea's","Random",4,"m"
"sandaal","LF",2,"n"
"vlak","HF",1,"n"
"hoende","Pseudo",3,"m"
"moment","HF",1,"n"
"lenger","Pseudo",3,"m"
"sterk","HF",1,"n"
"jeer","Pseudo",3,"m"
"games","LF",2,"n"
"jouw","HF",1,"n"
"treijsh","Random",4,"m"
"zijde","HF",1,"n"
"solpejs","Random",4,"m"
"rief","Pseudo",3,"m"
"foto","HF",1,"n"
"bdejse","Random",4,"m"
"deven","Pseudo",3,"m"
"spolen","Pseudo",3,"m"
"cinnen","Pseudo",3,"m"
"kust","HF",1,"n"
"sauna's","LF",2,"n"
"adres","HF",1,"n"
"gegaan","HF",1,"n"
"lengtes","LF",2,"n"
"prooien","LF",2,"n"
"klinst","Pseudo",3,"m"
"chif","Pseudo",3,"m"
"tneprpos","Random",4,"m"
"vijl","LF",2,"n"
"meima","Pseudo",3,"m"
"mooi","HF",1,"n"
"zeende","Pseudo",3,"m"
"blop","Pseudo",3,"m"
"hoort","HF",1,"n"
"primeurs","LF",2,"n"
"maakte","HF",1,"n"
"lentes","LF",2,"n"
"rorde","Pseudo",3,"m"
"judo","LF",2,"n"
"uist","Pseudo",3,"m"
"duels","LF",2,"n"
"sgjkreoe","Random",4,"m"
"valt","HF",1,"n"
"oren","HF",1,"n"
"dkjijes","Random",4,"m"
"olkracht","Pseudo",3,"m"
"woont","HF",1,"n"
"glak","Pseudo",3,"m"
"halpen","Pseudo",3,"m"
"boest","Pseudo",3,"m"
"brop","Pseudo",3,"m"
"ipystt","Random",4,"m"
"raster","LF",2,"n"
"waard","HF",1,"n"
"momlers","Random",4,"m"
"braag","Pseudo",3,"m"
"drum","LF",2,"n"
"tizjwnje","Random",4,"m"
"grag","Pseudo",3,"m"
"gfsalnig","Random",4,"m"
"squash","LF",2,"n"
"buurtje","LF",2,"n"
"piemels","LF",2,"n"
"lucter","Pseudo",3,"m"
"heette","HF",1,"n"
"nekjes","LF",2,"n"
"dinden","Pseudo",3,"m"
"last","HF",1,"n"
"igwjees","Random",4,"m"
"isjtenwj","Random",4,"m"
"nakken","Pseudo",3,"m"
"neutnr","Random",4,"m"
"sau'al","Random",4,"m"
"eddal","Random",4,"m"
"groen","HF",1,"n"
"sprake","HF",1,"n"
"kelkiej","Random",4,"m"
"gebeurd","HF",1,"n"
"dier","HF",1,"n"
"plooitje","LF",2,"n"
"eerst","HF",1,"n"
"facht","Pseudo",3,"m"
"juli","HF",1,"n"
"knikke","Pseudo",3,"m"
"topjes","LF",2,"n"
"gekend","HF",1,"n"
"verde","Pseudo",3,"m"
"ejsdfrui","Random",4,"m"
"ijlekjs","Random",4,"m"
"buffers","LF",2,"n"
"alevr","Random",4,"m"
"keed","Pseudo",3,"m"
"party's","LF",2,"n"
"jargons","LF",2,"n"
"gamma's","LF",2,"n"
"jatkalwe","Random",4,"m"
"ekzhito","Random",4,"m"
"boog","HF",1,"n"
"ijgv","Random",4,"m"
"rolkraag","LF",2,"n"
"aktcer","Random",4,"m"
"slamp","Pseudo",3,"m"
"badjes","LF",2,"n"
"begen","Pseudo",3,"m"
"blonke","Pseudo",3,"m"
"spelen","HF",1,"n"
"maandjes","LF",2,"n"
"schadar","Pseudo",3,"m"
"slot","HF",1,"n"
"dwergjes","LF",2,"n"
"vosje","LF",2,"n"
"bevaalt","Pseudo",3,"m"
"ting","Pseudo",3,"m"
"gifslang","LF",2,"n"
"szza'ip","Random",4,"m"
"plots","HF",1,"n"
"dieken","Pseudo",3,"m"
"afses","Random",4,"m"
"piniek","Pseudo",3,"m"
"odfohizn","Random",4,"m"
"half","HF",1,"n"
"gebrukt","Pseudo",3,"m"
"rteawj","Random",4,"m"
"mensen","HF",1,"n"
"blik","HF",1,"n"
"korargla","Random",4,"m"
"letters","HF",1,"n"
"wiegjes","LF",2,"n"
"tncshaej","Random",4,"m"
"esdoorn","LF",2,"n"
"koel","HF",1,"n"
"zoentjes","LF",2,"n"
"meidje","LF",2,"n"
"otters","LF",2,"n"
"sutilpor","Random",4,"m"
"moruts","Random",4,"m"
"thee","HF",1,"n"
"bleken","HF",1,"n"
"akind","Pseudo",3,"m"
"serste","Pseudo",3,"m"
"oologrs","Random",4,"m"
"ontzoet","Pseudo",3,"m"
"wimper","LF",2,"n"
"'raoscb","Random",4,"m"
"hoten","Pseudo",3,"m"
"uijfeds","Random",4,"m"
"zinsdeel","LF",2,"n"
"steeg","HF",1,"n"
"chalets","LF",2,"n"
"glas","HF",1,"n"
"zitting","HF",1,"n"
"fussen","Pseudo",3,"m"
"vroeger","HF",1,"n"
"ejvoksr","Random",4,"m"
"vmeelses","Random",4,"m"
"kaasje","LF",2,"n"
"uetijps","Random",4,"m"
"maat","HF",1,"n"
"sebje","Random",4,"m"
"printers","LF",2,"n"
"pukkel","LF",2,"n"
"klaproos","LF",2,"n"
"wratjes","LF",2,"n"
"uittejrs","Random",4,"m"
"roggen","LF",2,"n"
"knieën","HF",1,"n"
"crbesoh","Random",4,"m"
"euiltjzs","Random",4,"m"
"struikje","LF",2,"n"
"waren","HF",1,"n"
"enrdoos","Random",4,"m"
"sneeuw","HF",1,"n"
"biscuits","LF",2,"n"
"laetrir","Random",4,"m"
"sproek","Pseudo",3,"m"
"mutsjes","LF",2,"n"
"maret","Pseudo",3,"m"
"jugi","Pseudo",3,"m"
"pnoesns","Random",4,"m"
"rgbuej","Random",4,"m"
"markt","HF",1,"n"
"unies","LF",2,"n"
"zomer","HF",1,"n"
"loojitpe","Random",4,"m"
"duo's","LF",2,"n"
"snelheid","HF",1,"n"
"ssuaqh","Random",4,"m"
"heet","HF",1,"n"
"ohsoetg","Random",4,"m"
"wijze","HF",1,"n"
"dorg","Pseudo",3,"m"
"gedoerd","Pseudo",3,"m"
"neuiks","Random",4,"m"
"typist","LF",2,"n"
"mrojewps","Random",4,"m"
"hotel","HF",1,"n"
"behoel","Pseudo",3,"m"
"neius","Random",4,"m"
"waarna","HF",1,"n"
"aandge","Pseudo",3,"m"
"schudde","HF",1,"n"
"slijmen","LF",2,"n"
"trol","LF",2,"n"
"keren","HF",1,"n"
"omforbas","Random",4,"m"
"slazen","Pseudo",3,"m"
"cosrs","Random",4,"m"
"eitujl","Random",4,"m"
"glijbaan","LF",2,"n"
"cemmer","Pseudo",3,"m"
"jaam","Pseudo",3,"m"
"oprpcno","Random",4,"m"
"ervoor","HF",1,"n"
"diede","Pseudo",3,"m"
"middel","HF",1,"n"
"dachten","HF",1,"n"
"luikjes","LF",2,"n"
"ebaewsr","Random",4,"m"
"lijkjes","LF",2,"n"
"wijntjes","LF",2,"n"
"mormden","Pseudo",3,"m"
"nstuts","Random",4,"m"
"grees","Pseudo",3,"m"
"jeer","Pseudo",3,"m"
