"stimulus","cond","condition","correct_response"
"akind","Pseudo",3,"m"
"haad","Pseudo",3,"m"
"desserts","LF",2,"n"
"vlug","HF",1,"n"
"wratje","LF",2,"n"
"slurt","Pseudo",3,"m"
"cola's","LF",2,"n"
"farder","Pseudo",3,"m"
"najaars","LF",2,"n"
"vijg","LF",2,"n"
"begen","Pseudo",3,"m"
"zitjes","LF",2,"n"
"lieverds","LF",2,"n"
"huimen","Pseudo",3,"m"
"dand","Pseudo",3,"m"
"halve","HF",1,"n"
"vermoord","HF",1,"n"
"streken","HF",1,"n"
"handen","HF",1,"n"
"naabhdar","Random",4,"m"
"verder","HF",1,"n"
"koetje","LF",2,"n"
"augurk","LF",2,"n"
"bliemen","Pseudo",3,"m"
"dmjeaasn","Random",4,"m"
"ssuaqh","Random",4,"m"
"heut","Pseudo",3,"m"
"kost","HF",1,"n"
"baseball","LF",2,"n"
"besje","LF",2,"n"
"mede","HF",1,"n"
"spoor","HF",1,"n"
"boeren","HF",1,"n"
"gidsje","LF",2,"n"
"staf","HF",1,"n"
"denstig","Pseudo",3,"m"
"gifslang","LF",2,"n"
"oorlogs","LF",2,"n"
"surfen","LF",2,"n"
"pelososd","Random",4,"m"
"leufgej","Random",4,"m"
"ugrteje","Random",4,"m"
"espnrta","Random",4,"m"
"past","HF",1,"n"
"olok","Random",4,"m"
"stiften","LF",2,"n"
"laal","Pseudo",3,"m"
"rgaif","Random",4,"m"
"spal","Pseudo",3,"m"
"reebok","LF",2,"n"
"jokers","LF",2,"n"
"stekel","LF",2,"n"
"lastig","HF",1,"n"
"begreep","HF",1,"n"
"diefje","LF",2,"n"
"balkje","LF",2,"n"
"snaan","Pseudo",3,"m"
"kaarten","HF",1,"n"
"tnrio","Random",4,"m"
"stukje","HF",1,"n"
"buurtjes","LF",2,"n"
"agent","HF",1,"n"
"sau'al","Random",4,"m"
"sletten","LF",2,"n"
"veertig","HF",1,"n"
"cash","LF",2,"n"
"banken","HF",1,"n"
"leden","HF",1,"n"
"gevoomd","Pseudo",3,"m"
"ashc","Random",4,"m"
"usfren","Random",4,"m"
"arrsad","Random",4,"m"
"toster","Random",4,"m"
"jbeess","Random",4,"m"
"neutnr","Random",4,"m"
"lippen","HF",1,"n"
"ebnfof","Random",4,"m"
"verzoek","HF",1,"n"
"opzicht","HF",1,"n"
"kstwadan","Random",4,"m"
"nodig","HF",1,"n"
"mango's","LF",2,"n"
"tandje","LF",2,"n"
"eoggrn","Random",4,"m"
"ejposm","Random",4,"m"
"ribeuzd","Random",4,"m"
"derken","Pseudo",3,"m"
"slijmen","LF",2,"n"
"rechts","HF",1,"n"
"nhtsi","Random",4,"m"
"roeier","LF",2,"n"
"legagn","Random",4,"m"
"wezen","HF",1,"n"
"python","LF",2,"n"
"galgen","LF",2,"n"
"vlaktes","LF",2,"n"
"relsgak","Random",4,"m"
"lierde","Pseudo",3,"m"
"spurten","LF",2,"n"
"vervoek","Pseudo",3,"m"
"ulswar","Random",4,"m"
"weetjes","LF",2,"n"
"iezer","Pseudo",3,"m"
"ondanks","HF",1,"n"
"mentors","LF",2,"n"
"prima","HF",1,"n"
"kning","Pseudo",3,"m"
"lieks","Pseudo",3,"m"
"jooi","Pseudo",3,"m"
"jonteohr","Random",4,"m"
"uitzicht","HF",1,"n"
"veed","Pseudo",3,"m"
"natte","HF",1,"n"
"hoeft","HF",1,"n"
"serpent","LF",2,"n"
"rends","Pseudo",3,"m"
"vreles","Random",4,"m"
"majoor","HF",1,"n"
"twijgje","LF",2,"n"
"ldosoje","Random",4,"m"
"eigen","HF",1,"n"
"komen","HF",1,"n"
"knuffel","LF",2,"n"
"ting","Pseudo",3,"m"
"gerden","Pseudo",3,"m"
"coudt","Pseudo",3,"m"
"gezort","Pseudo",3,"m"
"jvejtli","Random",4,"m"
"lolly's","LF",2,"n"
"ernstig","HF",1,"n"
"zwak","HF",1,"n"
"tncshaej","Random",4,"m"
"scibuit","Random",4,"m"
"momlers","Random",4,"m"
"estlels","Random",4,"m"
"kijn","Pseudo",3,"m"
"dealen","LF",2,"n"
"vroeger","HF",1,"n"
"bijders","Pseudo",3,"m"
"deurt","Pseudo",3,"m"
"gezocht","HF",1,"n"
"jansara","Random",4,"m"
"praters","LF",2,"n"
"drook","Pseudo",3,"m"
"eignrgb","Random",4,"m"
"zieltje","LF",2,"n"
"chalets","LF",2,"n"
"kichten","Pseudo",3,"m"
"keurig","HF",1,"n"
"geilig","Pseudo",3,"m"
"haarband","LF",2,"n"
"park","HF",1,"n"
"krachten","HF",1,"n"
"rdum","Random",4,"m"
"dakpan","LF",2,"n"
"eiljtwed","Random",4,"m"
"bekend","HF",1,"n"
"pdteies","Random",4,"m"
"partger","Pseudo",3,"m"
"stemming","HF",1,"n"
"bezoel","Pseudo",3,"m"
"fezjee","Random",4,"m"
"neesztjo","Random",4,"m"
"modem","LF",2,"n"
"passa","Pseudo",3,"m"
"regels","HF",1,"n"
"toesrp","Random",4,"m"
"faten","Pseudo",3,"m"
"sgisend","Random",4,"m"
"spaties","LF",2,"n"
"esborpod","Random",4,"m"
"steet","Pseudo",3,"m"
"schaats","LF",2,"n"
"genoeg","HF",1,"n"
"prsetpin","Random",4,"m"
"upnoocs","Random",4,"m"
"tracht","HF",1,"n"
"t'aasps","Random",4,"m"
"gegt","Pseudo",3,"m"
"zullen","HF",1,"n"
"neusjes","LF",2,"n"
"nogms'a","Random",4,"m"
"brip","Pseudo",3,"m"
"tijesgwj","Random",4,"m"
"butlers","LF",2,"n"
"deek","Pseudo",3,"m"
"emjsite","Random",4,"m"
"geet","Pseudo",3,"m"
"gala","LF",2,"n"
"flora's","LF",2,"n"
"stopte","HF",1,"n"
"krijk","Pseudo",3,"m"
"groter","HF",1,"n"
"took","Pseudo",3,"m"
"dending","Pseudo",3,"m"
"ontstaat","HF",1,"n"
"ojjo","Random",4,"m"
"zonder","HF",1,"n"
"motto's","LF",2,"n"
"gengde","Pseudo",3,"m"
"gefeurd","Pseudo",3,"m"
"auto's","HF",1,"n"
"lelend","Pseudo",3,"m"
"ofpsr","Random",4,"m"
"oopt","Pseudo",3,"m"
"c'isrmo","Random",4,"m"
"apteer","Pseudo",3,"m"
"smokings","LF",2,"n"
"obojegs","Random",4,"m"
"blat","Pseudo",3,"m"
"almes","Pseudo",3,"m"
"lolly","LF",2,"n"
"karoolsp","Random",4,"m"
"produkt","HF",1,"n"
"verhaal","HF",1,"n"
"lamen","Pseudo",3,"m"
"eenzaam","HF",1,"n"
"orse","Pseudo",3,"m"
"bouwen","HF",1,"n"
"theed","Pseudo",3,"m"
"ookten","Pseudo",3,"m"
"vanaf","HF",1,"n"
"raard","Pseudo",3,"m"
"geleerd","HF",1,"n"
"sjersoo","Random",4,"m"
"snoetjes","LF",2,"n"
"vikings","LF",2,"n"
"zette","HF",1,"n"
"oten","Pseudo",3,"m"
"sonbs","Random",4,"m"
"kskderid","Random",4,"m"
"kwaad","HF",1,"n"
"loel","Pseudo",3,"m"
"puistje","LF",2,"n"
"fnstiet","Random",4,"m"
"lsede","Random",4,"m"
"popcorn","LF",2,"n"
"profs","LF",2,"n"
"broog","Pseudo",3,"m"
"doctors","LF",2,"n"
