"stimulus","cond","condition","correct_response"
"peinten","Pseudo",3,"m"
"veldjes","LF",2,"n"
"klein","HF",1,"n"
"eembozs","Random",4,"m"
"mopor","Pseudo",3,"m"
"ujekde","Random",4,"m"
"faarden","Pseudo",3,"m"
"meende","HF",1,"n"
"kotje","LF",2,"n"
"kraagt","Pseudo",3,"m"
"tnokars","Random",4,"m"
"minaag","Pseudo",3,"m"
"bertend","Pseudo",3,"m"
"stof","HF",1,"n"
"duut","Pseudo",3,"m"
"dutjes","LF",2,"n"
"hendels","LF",2,"n"
"esdoorn","LF",2,"n"
"egnect","Pseudo",3,"m"
"tetozn","Random",4,"m"
"scibuit","Random",4,"m"
"neuiks","Random",4,"m"
"ring","HF",1,"n"
"tfsroac","Random",4,"m"
"jngiogg","Random",4,"m"
"hact","Pseudo",3,"m"
"eisers","LF",2,"n"
"sporen","HF",1,"n"
"mooi","HF",1,"n"
"lryla","Random",4,"m"
"buffers","LF",2,"n"
"syndeem","Pseudo",3,"m"
"keotj","Random",4,"m"
"mrkneom","Random",4,"m"
"verlelt","Pseudo",3,"m"
"gegt","Pseudo",3,"m"
"zwaantje","LF",2,"n"
"slipjes","LF",2,"n"
"eitel","Pseudo",3,"m"
"kleur","HF",1,"n"
"plaar","Pseudo",3,"m"
"earrspt","Random",4,"m"
"robtu","Random",4,"m"
"ilwotfo","Random",4,"m"
"vogel","HF",1,"n"
"luid","HF",1,"n"
"haarband","LF",2,"n"
"beertjes","LF",2,"n"
"racebaan","LF",2,"n"
"eoggrn","Random",4,"m"
"gieters","LF",2,"n"
"fles","HF",1,"n"
"peide","Pseudo",3,"m"
"andslaa","Random",4,"m"
"begen","Pseudo",3,"m"
"koortje","LF",2,"n"
"pty'ans","Random",4,"m"
"wimper","LF",2,"n"
"hangt","HF",1,"n"
"rietjes","LF",2,"n"
"racket","LF",2,"n"
"bowling","LF",2,"n"
"werk","HF",1,"n"
"milieu","HF",1,"n"
"cangs","Pseudo",3,"m"
"loorden","Pseudo",3,"m"
"jivl","Random",4,"m"
