"stimulus","cond","condition","correct_response"
"dijkjes","LF",2,"n"
"jiksube","Random",4,"m"
"wratje","LF",2,"n"
"knieën","HF",1,"n"
"sebje","Random",4,"m"
"rechtop","HF",1,"n"
"apteer","Pseudo",3,"m"
"geloof","HF",1,"n"
"hockey","LF",2,"n"
"voorstok","Pseudo",3,"m"
"tellers","LF",2,"n"
"gifslang","LF",2,"n"
"aantal","HF",1,"n"
"stemle","Pseudo",3,"m"
"iiznjb","Random",4,"m"
"broog","Pseudo",3,"m"
"koordjes","LF",2,"n"
"kotje","LF",2,"n"
"kliekje","LF",2,"n"
"utjbrue","Random",4,"m"
"deanbjr","Random",4,"m"
"vooruit","HF",1,"n"
"karoolsp","Random",4,"m"
"zelfs","HF",1,"n"
"geef","HF",1,"n"
"boksers","LF",2,"n"
"zalfjes","LF",2,"n"
"nksiert","Random",4,"m"
"npdia","Random",4,"m"
"kemen","Pseudo",3,"m"
"gedoord","Pseudo",3,"m"
"egams","Random",4,"m"
"csaesjht","Random",4,"m"
"bechte","Pseudo",3,"m"
"rarde","Pseudo",3,"m"
"negen","HF",1,"n"
"vrolijk","HF",1,"n"
"ilwotfo","Random",4,"m"
"ajaelsg","Random",4,"m"
"jrkipue","Random",4,"m"
"eteelsj","Random",4,"m"
"striem","LF",2,"n"
"houding","HF",1,"n"
"odfohizn","Random",4,"m"
"wegen","HF",1,"n"
"dakpan","LF",2,"n"
"wmirpe","Random",4,"m"
"tsrjike","Random",4,"m"
"klonk","HF",1,"n"
"stemming","HF",1,"n"
"uuagrk","Random",4,"m"
"hopen","HF",1,"n"
"knikjes","LF",2,"n"
"ortocds","Random",4,"m"
"bopen","Pseudo",3,"m"
"eignrgb","Random",4,"m"
"jfelsza","Random",4,"m"
"typisch","HF",1,"n"
"maapte","Pseudo",3,"m"
"ijlfo","Random",4,"m"
"epaspj","Random",4,"m"
"kamp","HF",1,"n"
"tuin","HF",1,"n"
"getten","Pseudo",3,"m"
"vergent","Pseudo",3,"m"
"poten","HF",1,"n"
"beiken","Pseudo",3,"m"
"anncesrs","Random",4,"m"
"jojo","LF",2,"n"
"prapdijk","Pseudo",3,"m"
"lmabus","Random",4,"m"
"vormen","HF",1,"n"
"belin","Pseudo",3,"m"
"cartoon","LF",2,"n"
"blinnen","Pseudo",3,"m"
"sehrfifs","Random",4,"m"
"distijfs","Pseudo",3,"m"
"stages","LF",2,"n"
"olijf","LF",2,"n"
"boest","Pseudo",3,"m"
"desserts","LF",2,"n"
"gehad","HF",1,"n"
"orgels","LF",2,"n"
"hoofdzin","LF",2,"n"
"genot","HF",1,"n"
"geschakt","Pseudo",3,"m"
"frames","LF",2,"n"
"reviews","LF",2,"n"
"asbbalel","Random",4,"m"
"strang","Pseudo",3,"m"
"zachte","HF",1,"n"
"ajewts","Random",4,"m"
"jongste","HF",1,"n"
"bruine","HF",1,"n"
"gelzen","Pseudo",3,"m"
"meken","Pseudo",3,"m"
"nelpze","Random",4,"m"
"nakken","Pseudo",3,"m"
"smalel","Pseudo",3,"m"
"rode","HF",1,"n"
"ewekrsk","Random",4,"m"
"einde","HF",1,"n"
"steekjes","LF",2,"n"
"ervan","HF",1,"n"
"geval","HF",1,"n"
"wijntjes","LF",2,"n"
"hookt","Pseudo",3,"m"
"handen","HF",1,"n"
"geruld","Pseudo",3,"m"
"vloee","Pseudo",3,"m"
"brede","HF",1,"n"
"brechtig","Pseudo",3,"m"
"rseart","Random",4,"m"
"hawen","Pseudo",3,"m"
"hoodaat","Pseudo",3,"m"
"eivnfu","Random",4,"m"
"schone","HF",1,"n"
"ofpsr","Random",4,"m"
"facht","Pseudo",3,"m"
"serres","LF",2,"n"
"proton","LF",2,"n"
"alweer","HF",1,"n"
"droep","Pseudo",3,"m"
"simgkons","Random",4,"m"
"rudtmsel","Random",4,"m"
"selder","LF",2,"n"
"trjeoo","Random",4,"m"
"enes","Pseudo",3,"m"
"tnjoteso","Random",4,"m"
"geid","Pseudo",3,"m"
"vleesmes","LF",2,"n"
"steags","Random",4,"m"
"stunts","LF",2,"n"
"izobsn","Random",4,"m"
"buurt","HF",1,"n"
"jematnsa","Random",4,"m"
"slapen","HF",1,"n"
"ienuml","Random",4,"m"
"zusters","HF",1,"n"
"vruchtje","LF",2,"n"
"krijg","HF",1,"n"
"pruikje","LF",2,"n"
"dasbom","Pseudo",3,"m"
"cazin","Pseudo",3,"m"
"zorg","HF",1,"n"
"pizza's","LF",2,"n"
"westerns","LF",2,"n"
"praat","HF",1,"n"
"missen","HF",1,"n"
"mensen","HF",1,"n"
"feest","HF",1,"n"
"bijd","Pseudo",3,"m"
"sponsen","LF",2,"n"
"maanden","HF",1,"n"
"hoger","HF",1,"n"
"twijgjes","LF",2,"n"
"bevat","HF",1,"n"
"volkjes","LF",2,"n"
"witloof","LF",2,"n"
"stijt","Pseudo",3,"m"
"logo","LF",2,"n"
"leter","Pseudo",3,"m"
"kapjes","LF",2,"n"
"poepje","LF",2,"n"
"laal","Pseudo",3,"m"
"lssaa","Random",4,"m"
"mooie","HF",1,"n"
"zotten","LF",2,"n"
"durfde","HF",1,"n"
"eteljs","Random",4,"m"
"ritsen","LF",2,"n"
"scripts","LF",2,"n"
"geden","Pseudo",3,"m"
"ebaewsr","Random",4,"m"
"ltesbei","Random",4,"m"
"blif","Pseudo",3,"m"
"plein","HF",1,"n"
"eembozs","Random",4,"m"
"wormpjes","LF",2,"n"
"beus","Pseudo",3,"m"
"prond","Pseudo",3,"m"
"paarden","HF",1,"n"
"broches","LF",2,"n"
"ineens","HF",1,"n"
"spijt","HF",1,"n"
"roggen","LF",2,"n"
"egtjjwi","Random",4,"m"
"laal","Pseudo",3,"m"
"hulpjes","LF",2,"n"
"donter","Pseudo",3,"m"
"lsede","Random",4,"m"
"obzmie","Random",4,"m"
"focht","Pseudo",3,"m"
"gaven","HF",1,"n"
"jugi","Pseudo",3,"m"
"meikje","Pseudo",3,"m"
"vonen","Pseudo",3,"m"
"stortbui","LF",2,"n"
"slijper","LF",2,"n"
"eijlks","Random",4,"m"
"wiest","Pseudo",3,"m"
"vijl","LF",2,"n"
"letsels","LF",2,"n"
"zondag","HF",1,"n"
"vlokje","LF",2,"n"
"coupon","LF",2,"n"
"loffer","Pseudo",3,"m"
"pavroot","Pseudo",3,"m"
"sgao't","Random",4,"m"
"licht","HF",1,"n"
"vlokjes","LF",2,"n"
"opyhtn","Random",4,"m"
"welke","HF",1,"n"
"rvgeeti","Random",4,"m"
"nogal","HF",1,"n"
"crbesoh","Random",4,"m"
"liek","Pseudo",3,"m"
"soms","HF",1,"n"
"kskderid","Random",4,"m"
"ba's","Pseudo",3,"m"
"schiet","HF",1,"n"
"scooters","LF",2,"n"
"framboos","LF",2,"n"
"zozeer","HF",1,"n"
"boep","Pseudo",3,"m"
"afses","Random",4,"m"
"cricket","LF",2,"n"
"legagn","Random",4,"m"
"robtu","Random",4,"m"
"beem","Pseudo",3,"m"
"lecht","Pseudo",3,"m"
"jark","Pseudo",3,"m"
"prisma's","LF",2,"n"
"zijde","HF",1,"n"
"gezocht","HF",1,"n"
"gevoomd","Pseudo",3,"m"
"ubtrsoti","Random",4,"m"
"designs","LF",2,"n"
"pilsjes","LF",2,"n"
"earrspt","Random",4,"m"
