"stimulus","cond","condition","correct_response"
"sau'al","Random",4,"m"
"dond","Pseudo",3,"m"
"aavgrsej","Random",4,"m"
"nachtjes","LF",2,"n"
"jedselps","Random",4,"m"
"stelt","HF",1,"n"
"dichter","HF",1,"n"
"etters","LF",2,"n"
"usjesne","Random",4,"m"
"peukjes","LF",2,"n"
"secjepsh","Random",4,"m"
"beus","Pseudo",3,"m"
"advies","HF",1,"n"
"olaavc","Random",4,"m"
"enkel","HF",1,"n"
"veldjes","LF",2,"n"
"ismeukt","Random",4,"m"
"bezig","HF",1,"n"
"drans","Pseudo",3,"m"
"raakt","HF",1,"n"
"bijbet","Pseudo",3,"m"
"hetgeen","HF",1,"n"
"wijze","HF",1,"n"
"farder","Pseudo",3,"m"
"niet","HF",1,"n"
"masuur","Pseudo",3,"m"
"ietm","Random",4,"m"
"groep","HF",1,"n"
"bsireej","Random",4,"m"
"berast","Pseudo",3,"m"
"dijkjes","LF",2,"n"
"naar","HF",1,"n"
"tfsroac","Random",4,"m"
"alders","Pseudo",3,"m"
"doden","HF",1,"n"
"dealen","LF",2,"n"
"peddel","LF",2,"n"
"hoed","HF",1,"n"
"gevoel","HF",1,"n"
"neuiks","Random",4,"m"
"eitujl","Random",4,"m"
"brief","HF",1,"n"
"zeer","HF",1,"n"
"nogms'a","Random",4,"m"
"uiltje","LF",2,"n"
"eesewsj","Random",4,"m"
"kust","HF",1,"n"
"belpt","Pseudo",3,"m"
"meent","HF",1,"n"
"kbrfoal","Random",4,"m"
"cout","Pseudo",3,"m"
"sgnjaor","Random",4,"m"
"nhtsi","Random",4,"m"
"hartjes","LF",2,"n"
"fauna's","LF",2,"n"
"zover","HF",1,"n"
"fracht","Pseudo",3,"m"
"vind","HF",1,"n"
"tweede","HF",1,"n"
"pilsjes","LF",2,"n"
"agenzn","Random",4,"m"
"dank","HF",1,"n"
"ktsea","Random",4,"m"
"donors","LF",2,"n"
"laetrir","Random",4,"m"
"sausjes","LF",2,"n"
"stroppen","LF",2,"n"
"zwaantje","LF",2,"n"
"lijst","HF",1,"n"
"kstwadan","Random",4,"m"
"ugrteje","Random",4,"m"
"cartoon","LF",2,"n"
"oijnnt","Random",4,"m"
"mango's","LF",2,"n"
"fooitje","LF",2,"n"
"naakt","HF",1,"n"
"tuiker","Pseudo",3,"m"
"groeg","Pseudo",3,"m"
"wasbeer","LF",2,"n"
"ienuml","Random",4,"m"
"stiften","LF",2,"n"
"wormpjes","LF",2,"n"
"szza'ip","Random",4,"m"
"hergen","Pseudo",3,"m"
"korte","HF",1,"n"
"kest","Pseudo",3,"m"
"doctors","LF",2,"n"
"muiltje","LF",2,"n"
"stons","Pseudo",3,"m"
"paar","HF",1,"n"
"esttkren","Random",4,"m"
"ueadfrs","Random",4,"m"
"goudstuk","LF",2,"n"
"vaid","Random",4,"m"
"limoen","LF",2,"n"
